level,task,order,id
easy,MS,5,064SSAB
medium,MS,6,064SSAB
hard,MS,7,064SSAB
medium,MR,8,064SSAB
easy,MR,9,064SSAB
easy,MR,1,065SSTM
hard,MR,2,065SSTM
medium,MS,3,065SSTM
easy,ST,4,065SSTM
hard,ST,5,065SSTM
medium,ST,6,065SSTM
easy,MS,7,065SSTM
medium,MR,8,065SSTM
hard,MS,9,065SSTM
medium,MR,1,067SSDA
medium,ST,2,067SSDA
hard,ST,3,067SSDA
hard,MR,4,067SSDA
hard,MS,5,067SSDA
medium,MS,6,067SSDA
easy,MS,7,067SSDA
easy,ST,8,067SSDA
easy,MR,9,067SSDA
medium,ST,1,068SSMT
easy,ST,2,068SSMT
easy,MR,3,068SSMT
hard,MR,4,068SSMT
hard,ST,5,068SSMT
easy,MS,6,068SSMT
medium,MR,7,068SSMT
hard,MS,8,068SSMT
medium,MS,9,068SSMT
easy,MR,1,069SSMV
easy,ST,2,069SSMV
hard,MR,3,069SSMV
medium,ST,4,069SSMV
easy,MS,5,069SSMV
medium,MS,6,069SSMV
medium,MR,7,069SSMV
hard,ST,8,069SSMV
hard,MS,9,069SSMV
medium,ST,1,070SSAK
easy,MR,2,070SSAK
easy,MS,3,070SSAK
hard,ST,4,070SSAK
hard,MR,5,070SSAK
hard,MS,6,070SSAK
medium,MR,7,070SSAK
medium,MS,8,070SSAK
easy,ST,9,070SSAK
hard,ST,1,074SSKS
medium,MR,2,074SSKS
hard,MR,3,074SSKS
easy,ST,4,074SSKS
medium,ST,5,074SSKS
hard,MS,6,074SSKS
easy,MR,7,074SSKS
medium,MS,8,074SSKS
easy,MS,9,074SSKS
medium,MS,1,076SSRK
medium,ST,2,076SSRK
easy,MR,3,076SSRK
medium,MR,4,076SSRK
hard,MR,5,076SSRK
easy,MS,6,076SSRK
easy,ST,7,076SSRK
hard,ST,8,076SSRK
hard,MS,9,076SSRK
medium,ST,1,077SSKK
medium,MS,2,077SSKK
hard,MR,3,077SSKK
hard,MS,4,077SSKK
easy,MR,5,077SSKK
easy,ST,6,077SSKK
medium,MR,7,077SSKK
easy,MS,8,077SSKK
hard,ST,9,077SSKK
hard,MS,1,080SSAF
medium,MR,2,080SSAF
hard,ST,3,080SSAF
easy,MR,4,080SSAF
easy,ST,5,080SSAF
easy,MS,6,080SSAF
medium,ST,7,080SSAF
medium,MS,8,080SSAF
