id,trials,task,level,n,rt,acc
007SSJM,2,MS,easy,3,NA,1
007SSJM,2,MS,medium,5,NA,1
007SSJM,2,MS,hard,3,NA,0.42857142857142855
007SSJM,3,MS,easy,3,NA,1
007SSJM,3,MS,medium,5,NA,1
007SSJM,3,MS,hard,4,NA,0.5714285714285714
007SSJM,4,MS,easy,3,NA,1
007SSJM,4,MS,medium,4,NA,0.8
007SSJM,4,MS,hard,2,NA,0.2857142857142857
007SSJM,5,MS,easy,3,NA,1
007SSJM,5,MS,medium,4,NA,0.8
007SSJM,5,MS,hard,4,NA,0.5714285714285714
007SSJM,6,MS,easy,2,NA,0.6666666666666666
007SSJM,6,MS,medium,5,NA,1
007SSJM,6,MS,hard,4,NA,0.5714285714285714
007SSJM,7,MS,easy,0,NA,0
007SSJM,7,MS,medium,5,NA,1
007SSJM,7,MS,hard,4,NA,0.5714285714285714
007SSJM,8,MS,easy,3,NA,1
007SSJM,8,MS,medium,5,NA,1
007SSJM,8,MS,hard,3,NA,0.42857142857142855
007SSJM,9,MS,easy,3,NA,1
007SSJM,9,MS,medium,5,NA,1
007SSJM,9,MS,hard,4,NA,0.5714285714285714
007SSJM,10,MS,easy,3,NA,1
007SSJM,10,MS,medium,5,NA,1
007SSJM,10,MS,hard,4,NA,0.5714285714285714
007SSJM,11,MS,easy,3,NA,1
007SSJM,11,MS,medium,4,NA,0.8
007SSJM,11,MS,hard,3,NA,0.42857142857142855
007SSJM,12,MS,easy,3,NA,1
007SSJM,12,MS,medium,4,NA,0.8
007SSJM,12,MS,hard,2,NA,0.2857142857142857
007SSJM,13,MS,easy,3,NA,1
007SSJM,13,MS,medium,4,NA,0.8
007SSJM,13,MS,hard,3,NA,0.42857142857142855
007SSJM,14,MS,easy,3,NA,1
007SSJM,14,MS,medium,3,NA,0.6
007SSJM,14,MS,hard,3,NA,0.42857142857142855
007SSJM,15,MS,easy,3,NA,1
007SSJM,15,MS,medium,3,NA,0.6
007SSJM,15,MS,hard,3,NA,0.42857142857142855
007SSJM,16,MS,easy,3,NA,1
007SSJM,16,MS,medium,4,NA,0.8
007SSJM,16,MS,hard,3,NA,0.42857142857142855
008SSEP,1,MS,easy,3,11.9189,1
008SSEP,1,MS,medium,4,14.8244,0.8
008SSEP,1,MS,hard,5,19.6481,0.7142857142857143
008SSEP,2,MS,easy,3,9.8355,1
008SSEP,2,MS,medium,4,17.3673,0.8
008SSEP,2,MS,hard,4,17.6329,0.5714285714285714
008SSEP,3,MS,easy,3,9.1255,1
008SSEP,3,MS,medium,5,16.465,1
008SSEP,3,MS,hard,5,16.0354,0.7142857142857143
008SSEP,4,MS,easy,3,8.7626,1
008SSEP,4,MS,medium,5,17.4132,1
008SSEP,4,MS,hard,6,19.2535,0.8571428571428571
008SSEP,5,MS,easy,3,9.5253,1
008SSEP,5,MS,medium,5,14.5538,1
008SSEP,5,MS,hard,6,18.6536,0.8571428571428571
008SSEP,6,MS,easy,3,9.2906,1
008SSEP,6,MS,medium,5,14.4663,1
008SSEP,6,MS,hard,5,15.0855,0.7142857142857143
008SSEP,7,MS,easy,3,8.1807,1
008SSEP,7,MS,medium,5,13.1496,1
008SSEP,7,MS,hard,5,21.3097,0.7142857142857143
008SSEP,8,MS,easy,3,7.9049,1
008SSEP,8,MS,medium,5,14.3319,1
008SSEP,8,MS,hard,3,12.4385,0.42857142857142855
008SSEP,9,MS,easy,3,8.6255,1
008SSEP,9,MS,medium,5,13.3663,1
008SSEP,9,MS,hard,5,14.5491,0.7142857142857143
008SSEP,10,MS,easy,3,9.3411,1
008SSEP,10,MS,medium,5,17.113,1
008SSEP,10,MS,hard,5,13.6321,0.7142857142857143
008SSEP,11,MS,easy,3,7.8263,1
008SSEP,11,MS,medium,5,13.7038,1
008SSEP,11,MS,hard,6,18.8162,0.8571428571428571
008SSEP,12,MS,easy,3,9.2905,1
008SSEP,12,MS,medium,5,15.4852,1
008SSEP,12,MS,hard,6,21.5807,0.8571428571428571
008SSEP,13,MS,easy,3,9.453,1
008SSEP,13,MS,medium,5,17.5126,1
008SSEP,13,MS,hard,6,17.8838,0.8571428571428571
008SSEP,14,MS,easy,3,14.0704,1
008SSEP,14,MS,medium,5,14.0571,1
008SSEP,14,MS,hard,6,21.3763,0.8571428571428571
008SSEP,15,MS,easy,3,9.3126,1
008SSEP,15,MS,medium,5,13.4331,1
008SSEP,15,MS,hard,6,20.5653,0.8571428571428571
008SSEP,16,MS,easy,3,10.8014,1
008SSEP,16,MS,medium,5,15.5872,1
008SSEP,16,MS,hard,4,19.3867,0.5714285714285714
009SSAP,1,MS,easy,3,NA,1
009SSAP,1,MS,medium,4,NA,0.8
009SSAP,1,MS,hard,5,NA,0.7142857142857143
009SSAP,2,MS,easy,3,NA,1
009SSAP,2,MS,medium,5,NA,1
009SSAP,2,MS,hard,3,NA,0.42857142857142855
009SSAP,3,MS,easy,3,NA,1
009SSAP,3,MS,medium,5,NA,1
009SSAP,3,MS,hard,3,NA,0.42857142857142855
009SSAP,4,MS,easy,3,NA,1
009SSAP,4,MS,medium,5,NA,1
009SSAP,4,MS,hard,4,NA,0.5714285714285714
009SSAP,5,MS,easy,3,NA,1
009SSAP,5,MS,medium,5,NA,1
009SSAP,5,MS,hard,6,NA,0.8571428571428571
009SSAP,6,MS,easy,3,NA,1
009SSAP,6,MS,medium,5,NA,1
009SSAP,6,MS,hard,7,NA,1
009SSAP,7,MS,easy,3,NA,1
009SSAP,7,MS,medium,5,NA,1
009SSAP,7,MS,hard,4,NA,0.5714285714285714
009SSAP,8,MS,easy,3,NA,1
009SSAP,8,MS,medium,5,NA,1
009SSAP,8,MS,hard,5,NA,0.7142857142857143
009SSAP,9,MS,easy,3,NA,1
009SSAP,9,MS,medium,5,NA,1
009SSAP,9,MS,hard,6,NA,0.8571428571428571
009SSAP,10,MS,easy,3,NA,1
009SSAP,10,MS,medium,5,NA,1
009SSAP,10,MS,hard,6,NA,0.8571428571428571
009SSAP,11,MS,easy,3,NA,1
009SSAP,11,MS,medium,4,NA,0.8
009SSAP,11,MS,hard,5,NA,0.7142857142857143
009SSAP,12,MS,easy,3,NA,1
009SSAP,12,MS,medium,5,NA,1
009SSAP,12,MS,hard,5,NA,0.7142857142857143
009SSAP,13,MS,easy,3,NA,1
009SSAP,13,MS,medium,5,NA,1
009SSAP,13,MS,hard,6,NA,0.8571428571428571
009SSAP,14,MS,easy,3,NA,1
009SSAP,14,MS,medium,5,NA,1
009SSAP,14,MS,hard,6,NA,0.8571428571428571
009SSAP,15,MS,easy,3,NA,1
009SSAP,15,MS,medium,5,NA,1
009SSAP,15,MS,hard,6,NA,0.8571428571428571
009SSAP,16,MS,easy,3,NA,1
009SSAP,16,MS,medium,4,NA,0.8
009SSAP,16,MS,hard,6,NA,0.8571428571428571
010SSEA,1,MS,easy,3,NA,1
010SSEA,1,MS,medium,4,NA,0.8
010SSEA,1,MS,hard,6,NA,0.8571428571428571
010SSEA,2,MS,easy,3,NA,1
010SSEA,2,MS,medium,5,NA,1
010SSEA,2,MS,hard,5,NA,0.7142857142857143
010SSEA,3,MS,easy,3,NA,1
010SSEA,3,MS,medium,5,NA,1
