id,correctAns,base_pic,rotated_pic,key,is_correct,rt,task,level,trial
003SSKS,right,images/base/11_a.png,images/combined/11_a_x_270_y_0_z_90.png,right,1,4.154,MR,hard,5
003SSKS,right,images/base/13_a.png,images/combined/13_a_x_90_y_0_z_270.png,left,0,5.749,MR,hard,6
003SSKS,right,images/base/3_a.png,images/combined/3_a_x_90_y_0_z_90.png,left,0,8.176,MR,hard,7
003SSKS,left,images/base/1_b.png,images/combined/1_a_x_270_y_0_z_90.png,left,1,3.8,MR,hard,8
003SSKS,left,images/base/7_a.png,images/combined/7_b_x_270_y_0_z_270.png,left,1,7.309,MR,hard,9
003SSKS,left,images/base/5_b.png,images/combined/5_a_x_90_y_0_z_270.png,left,1,4.735,MR,hard,10
003SSKS,right,images/base/9_b.png,images/combined/9_b_x_270_y_0_z_90.png,left,0,3.517,MR,hard,11
003SSKS,right,images/base/12_b.png,images/combined/12_b_x_270_y_0_z_270.png,right,1,5.64,MR,hard,12
003SSKS,left,images/base/16_a.png,images/combined/16_b_x_270_y_0_z_90.png,left,1,5.133,MR,hard,13
003SSKS,right,images/base/15_b.png,images/combined/15_b_x_270_y_0_z_270.png,left,0,5.816,MR,hard,14
003SSKS,left,images/base/8_b.png,images/combined/8_a_x_90_y_0_z_90.png,left,1,4.823,MR,hard,15
003SSKS,right,images/base/10_b.png,images/combined/10_b_x_90_y_0_z_90.png,right,1,2.951,MR,hard,16
004SSDR,left,images/base/16_b.png,images/combined/16_a_x_0_y_0_z_315.png,left,1,8.0236,MR,easy,1
004SSDR,left,images/base/12_a.png,images/combined/12_b_x_0_y_0_z_315.png,left,1,4.8343,MR,easy,2
004SSDR,left,images/base/4_b.png,images/combined/4_a_x_0_y_0_z_45.png,left,1,4.7297,MR,easy,3
004SSDR,right,images/base/2_b.png,images/combined/2_b_x_0_y_0_z_45.png,right,1,2.5613,MR,easy,4
004SSDR,right,images/base/1_a.png,images/combined/1_a_x_0_y_0_z_315.png,right,1,2.7031,MR,easy,5
004SSDR,right,images/base/13_a.png,images/combined/13_a_x_0_y_0_z_315.png,right,1,3.4287,MR,easy,6
004SSDR,right,images/base/7_b.png,images/combined/7_b_x_0_y_0_z_45.png,right,1,3.034,MR,easy,7
004SSDR,left,images/base/8_b.png,images/combined/8_a_x_0_y_0_z_45.png,left,1,2.9424,MR,easy,8
004SSDR,right,images/base/6_a.png,images/combined/6_a_x_0_y_0_z_315.png,right,1,4.5931,MR,easy,9
004SSDR,left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_45.png,left,1,2.4961,MR,easy,10
004SSDR,right,images/base/3_b.png,images/combined/3_b_x_0_y_0_z_315.png,right,1,2.2922,MR,easy,11
004SSDR,right,images/base/11_b.png,images/combined/11_b_x_0_y_0_z_45.png,right,1,2.4375,MR,easy,12
004SSDR,right,images/base/9_b.png,images/combined/9_b_x_0_y_0_z_315.png,right,1,3.1806,MR,easy,13
004SSDR,left,images/base/5_b.png,images/combined/5_a_x_0_y_0_z_315.png,left,1,1.4381,MR,easy,14
004SSDR,right,images/base/10_a.png,images/combined/10_a_x_0_y_0_z_45.png,right,1,4.9588,MR,easy,15
004SSDR,left,images/base/14_a.png,images/combined/14_b_x_0_y_0_z_315.png,left,1,1.4183,MR,easy,16
004SSDR,left,images/base/13_b.png,images/combined/13_a_x_315_y_0_z_270.png,left,1,6.7071,MR,medium,1
004SSDR,left,images/base/16_b.png,images/combined/16_a_x_315_y_0_z_270.png,right,0,9.297,MR,medium,2
004SSDR,left,images/base/10_a.png,images/combined/10_b_x_45_y_0_z_270.png,left,1,18.3674,MR,medium,3
004SSDR,left,images/base/6_b.png,images/combined/6_a_x_315_y_0_z_270.png,right,0,13.1381,MR,medium,4
004SSDR,left,images/base/12_b.png,images/combined/12_a_x_315_y_0_z_270.png,right,0,17.0804,MR,medium,5
004SSDR,right,images/base/3_a.png,images/combined/3_a_x_315_y_0_z_90.png,left,0,13.8733,MR,medium,6
004SSDR,right,images/base/8_a.png,images/combined/8_a_x_45_y_0_z_270.png,right,1,11.2487,MR,medium,7
004SSDR,left,images/base/5_a.png,images/combined/5_b_x_315_y_0_z_270.png,left,1,12.5161,MR,medium,8
004SSDR,right,images/base/1_b.png,images/combined/1_b_x_45_y_0_z_270.png,right,1,13.0695,MR,medium,9
004SSDR,right,images/base/2_b.png,images/combined/2_b_x_315_y_0_z_90.png,right,1,14.6253,MR,medium,10
004SSDR,right,images/base/11_b.png,images/combined/11_b_x_45_y_0_z_90.png,left,0,8.1799,MR,medium,11
004SSDR,left,images/base/4_a.png,images/combined/4_b_x_315_y_0_z_90.png,right,0,6.3386,MR,medium,12
004SSDR,left,images/base/7_a.png,images/combined/7_b_x_315_y_0_z_270.png,left,1,8.5333,MR,medium,13
004SSDR,left,images/base/9_b.png,images/combined/9_a_x_45_y_0_z_90.png,left,1,17.9332,MR,medium,14
004SSDR,left,images/base/14_b.png,images/combined/14_a_x_45_y_0_z_270.png,left,1,10.6698,MR,medium,15
004SSDR,left,images/base/15_b.png,images/combined/15_a_x_315_y_0_z_270.png,right,0,15.36,MR,medium,16
004SSDR,left,images/base/11_a.png,images/combined/11_b_x_90_y_0_z_270.png,left,1,29.9689,MR,hard,1
004SSDR,left,images/base/3_b.png,images/combined/3_a_x_90_y_0_z_270.png,right,0,13.6973,MR,hard,2
004SSDR,left,images/base/12_b.png,images/combined/12_a_x_270_y_0_z_90.png,left,1,16.8394,MR,hard,3
004SSDR,left,images/base/15_a.png,images/combined/15_b_x_270_y_0_z_270.png,right,0,22.756,MR,hard,4
004SSDR,left,images/base/9_a.png,images/combined/9_b_x_270_y_0_z_90.png,left,1,32.6356,MR,hard,5
004SSDR,right,images/base/8_a.png,images/combined/8_a_x_270_y_0_z_270.png,right,1,41.3306,MR,hard,6
004SSDR,right,images/base/7_b.png,images/combined/7_b_x_270_y_0_z_90.png,left,0,18.412,MR,hard,7
004SSDR,left,images/base/4_a.png,images/combined/4_b_x_90_y_0_z_270.png,left,1,9.4746,MR,hard,8
004SSDR,left,images/base/14_b.png,images/combined/14_a_x_270_y_0_z_270.png,left,1,24.8275,MR,hard,9
004SSDR,left,images/base/10_a.png,images/combined/10_b_x_90_y_0_z_90.png,left,1,21.0979,MR,hard,10
004SSDR,right,images/base/1_b.png,images/combined/1_b_x_270_y_0_z_270.png,right,1,25.4764,MR,hard,11
004SSDR,right,images/base/6_a.png,images/combined/6_a_x_90_y_0_z_270.png,left,0,8.7966,MR,hard,12
004SSDR,left,images/base/2_a.png,images/combined/2_b_x_270_y_0_z_90.png,left,1,7.499,MR,hard,13
004SSDR,right,images/base/13_b.png,images/combined/13_b_x_90_y_0_z_90.png,right,1,6.1112,MR,hard,14
004SSDR,left,images/base/5_a.png,images/combined/5_b_x_90_y_0_z_270.png,right,0,18.6739,MR,hard,15
004SSDR,left,images/base/16_b.png,images/combined/16_a_x_270_y_0_z_90.png,left,1,17.7977,MR,hard,16
005SSDR,left,images/base/14_a.png,images/combined/14_b_x_0_y_0_z_45.png,left,1,4.0205,MR,easy,1
005SSDR,left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_315.png,left,1,9.7853,MR,easy,2
005SSDR,left,images/base/4_b.png,images/combined/4_a_x_0_y_0_z_315.png,left,1,4.456,MR,easy,3
005SSDR,left,images/base/1_b.png,images/combined/1_a_x_0_y_0_z_45.png,left,1,16.5136,MR,easy,4
005SSDR,left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_45.png,left,1,4.933,MR,easy,5
005SSDR,left,images/base/9_b.png,images/combined/9_a_x_0_y_0_z_45.png,left,1,32.0422,MR,easy,6
005SSDR,left,images/base/8_b.png,images/combined/8_a_x_0_y_0_z_315.png,left,1,2.6833,MR,easy,7
005SSDR,right,images/base/7_b.png,images/combined/7_b_x_0_y_0_z_45.png,right,1,2.6835,MR,easy,8
005SSDR,right,images/base/12_b.png,images/combined/12_b_x_0_y_0_z_315.png,right,1,6.1554,MR,easy,9
005SSDR,right,images/base/16_b.png,images/combined/16_b_x_0_y_0_z_45.png,right,1,4.4204,MR,easy,10
005SSDR,right,images/base/2_b.png,images/combined/2_b_x_0_y_0_z_45.png,right,1,3.1012,MR,easy,11
005SSDR,right,images/base/5_b.png,images/combined/5_b_x_0_y_0_z_315.png,right,1,2.6547,MR,easy,12
005SSDR,right,images/base/13_a.png,images/combined/13_a_x_0_y_0_z_315.png,right,1,1.7949,MR,easy,13
005SSDR,left,images/base/11_b.png,images/combined/11_a_x_0_y_0_z_45.png,left,1,36.5581,MR,easy,14
005SSDR,right,images/base/6_a.png,images/combined/6_a_x_0_y_0_z_315.png,right,1,2.3959,MR,easy,15
005SSDR,right,images/base/10_b.png,images/combined/10_b_x_0_y_0_z_45.png,right,1,1.618,MR,easy,16
005SSDR,left,images/base/5_a.png,images/combined/5_b_x_45_y_0_z_90.png,left,1,4.407,MR,medium,1
005SSDR,right,images/base/13_a.png,images/combined/13_a_x_45_y_0_z_270.png,right,1,5.4616,MR,medium,2
005SSDR,right,images/base/6_b.png,images/combined/6_b_x_45_y_0_z_270.png,right,1,7.5295,MR,medium,3
005SSDR,right,images/base/11_a.png,images/combined/11_a_x_45_y_0_z_90.png,right,1,3.6049,MR,medium,4
005SSDR,left,images/base/7_b.png,images/combined/7_a_x_45_y_0_z_270.png,left,1,4.0499,MR,medium,5
005SSDR,right,images/base/4_a.png,images/combined/4_a_x_45_y_0_z_270.png,right,1,1.7703,MR,medium,6
005SSDR,right,images/base/1_a.png,images/combined/1_a_x_315_y_0_z_270.png,right,1,6.0162,MR,medium,7
005SSDR,left,images/base/3_b.png,images/combined/3_a_x_45_y_0_z_270.png,left,1,4.7589,MR,medium,8
005SSDR,right,images/base/14_b.png,images/combined/14_b_x_45_y_0_z_90.png,right,1,6.5623,MR,medium,9
005SSDR,left,images/base/16_b.png,images/combined/16_a_x_45_y_0_z_270.png,left,1,7.7639,MR,medium,10
005SSDR,right,images/base/9_a.png,images/combined/9_a_x_315_y_0_z_90.png,right,1,6.3117,MR,medium,11
005SSDR,right,images/base/8_a.png,images/combined/8_a_x_315_y_0_z_270.png,right,1,7.7784,MR,medium,12
005SSDR,right,images/base/10_b.png,images/combined/10_b_x_315_y_0_z_270.png,right,1,3.0249,MR,medium,13
005SSDR,right,images/base/15_a.png,images/combined/15_a_x_45_y_0_z_90.png,right,1,6.2991,MR,medium,14
005SSDR,left,images/base/2_a.png,images/combined/2_b_x_315_y_0_z_90.png,left,1,4.7463,MR,medium,15
005SSDR,right,images/base/12_b.png,images/combined/12_b_x_45_y_0_z_90.png,right,1,2.5998,MR,medium,16
005SSDR,left,images/base/3_a.png,images/combined/3_b_x_270_y_0_z_90.png,left,1,13.6409,MR,hard,1
005SSDR,left,images/base/4_b.png,images/combined/4_a_x_90_y_0_z_270.png,left,1,5.5299,MR,hard,2
005SSDR,left,images/base/13_b.png,images/combined/13_a_x_270_y_0_z_90.png,left,1,6.53,MR,hard,3
005SSDR,left,images/base/1_a.png,images/combined/1_b_x_90_y_0_z_270.png,left,1,15.3447,MR,hard,4
005SSDR,right,images/base/11_b.png,images/combined/11_b_x_90_y_0_z_90.png,right,1,25.8422,MR,hard,5
005SSDR,left,images/base/10_b.png,images/combined/10_a_x_90_y_0_z_90.png,left,1,13.8273,MR,hard,6
005SSDR,right,images/base/8_a.png,images/combined/8_a_x_270_y_0_z_90.png,right,1,4.3969,MR,hard,7
005SSDR,left,images/base/15_a.png,images/combined/15_b_x_90_y_0_z_270.png,left,1,19.424,MR,hard,8
005SSDR,left,images/base/7_a.png,images/combined/7_b_x_270_y_0_z_90.png,left,1,10.7775,MR,hard,9
005SSDR,left,images/base/12_a.png,images/combined/12_b_x_90_y_0_z_270.png,left,1,10.5115,MR,hard,10
005SSDR,left,images/base/9_b.png,images/combined/9_a_x_270_y_0_z_270.png,right,0,8.7896,MR,hard,11
005SSDR,right,images/base/2_b.png,images/combined/2_b_x_270_y_0_z_90.png,right,1,4.0677,MR,hard,12
005SSDR,left,images/base/5_a.png,images/combined/5_b_x_90_y_0_z_270.png,left,1,19.9192,MR,hard,13
005SSDR,right,images/base/14_a.png,images/combined/14_a_x_270_y_0_z_90.png,right,1,5.3299,MR,hard,14
005SSDR,right,images/base/16_a.png,images/combined/16_a_x_270_y_0_z_270.png,right,1,7.8991,MR,hard,15
005SSDR,right,images/base/6_a.png,images/combined/6_a_x_270_y_0_z_90.png,right,1,3.5985,MR,hard,16
006SSEE,left,images/base/12_a.png,images/combined/12_b_x_0_y_0_z_315.png,left,1,12.1829,MR,easy,1
006SSEE,right,images/base/5_b.png,images/combined/5_b_x_0_y_0_z_45.png,right,1,3.345,MR,easy,2
006SSEE,left,images/base/13_a.png,images/combined/13_b_x_0_y_0_z_315.png,left,1,6.271,MR,easy,3
006SSEE,left,images/base/2_a.png,images/combined/2_b_x_0_y_0_z_315.png,left,1,15.7618,MR,easy,4
006SSEE,left,images/base/15_b.png,images/combined/15_a_x_0_y_0_z_45.png,right,0,3.1093,MR,easy,5
006SSEE,right,images/base/4_b.png,images/combined/4_b_x_0_y_0_z_45.png,right,1,5.277,MR,easy,6
006SSEE,right,images/base/9_a.png,images/combined/9_a_x_0_y_0_z_45.png,right,1,2.9431,MR,easy,7
006SSEE,left,images/base/1_a.png,images/combined/1_b_x_0_y_0_z_315.png,left,1,1.3136,MR,easy,8
006SSEE,right,images/base/14_b.png,images/combined/14_b_x_0_y_0_z_315.png,right,1,2.5725,MR,easy,9
006SSEE,left,images/base/10_a.png,images/combined/10_b_x_0_y_0_z_315.png,left,1,6.6224,MR,easy,10
006SSEE,left,images/base/11_b.png,images/combined/11_a_x_0_y_0_z_45.png,left,1,11.9913,MR,easy,11
006SSEE,right,images/base/6_b.png,images/combined/6_b_x_0_y_0_z_45.png,right,1,3.2082,MR,easy,12
006SSEE,right,images/base/7_b.png,images/combined/7_b_x_0_y_0_z_315.png,right,1,8.23,MR,easy,13
006SSEE,left,images/base/8_a.png,images/combined/8_b_x_0_y_0_z_45.png,left,1,2.7976,MR,easy,14
006SSEE,left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_315.png,left,1,1.6727,MR,easy,15
006SSEE,left,images/base/16_a.png,images/combined/16_b_x_0_y_0_z_315.png,left,1,11.6789,MR,easy,16
006SSEE,left,images/base/4_a.png,images/combined/4_b_x_45_y_0_z_270.png,right,0,3.5535,MR,medium,1
006SSEE,left,images/base/3_a.png,images/combined/3_b_x_45_y_0_z_270.png,left,1,5.6366,MR,medium,2
006SSEE,right,images/base/1_a.png,images/combined/1_a_x_315_y_0_z_270.png,right,1,3.7912,MR,medium,3
006SSEE,right,images/base/8_b.png,images/combined/8_b_x_45_y_0_z_270.png,left,0,11.0009,MR,medium,4
006SSEE,left,images/base/10_a.png,images/combined/10_b_x_45_y_0_z_90.png,right,0,3.0634,MR,medium,5
006SSEE,left,images/base/13_a.png,images/combined/13_b_x_45_y_0_z_90.png,left,1,5.0985,MR,medium,6
006SSEE,right,images/base/16_a.png,images/combined/16_a_x_315_y_0_z_90.png,right,1,6.1821,MR,medium,7
006SSEE,left,images/base/12_a.png,images/combined/12_b_x_315_y_0_z_90.png,right,0,7.341,MR,medium,8
006SSEE,left,images/base/5_a.png,images/combined/5_b_x_45_y_0_z_270.png,right,0,20.3224,MR,medium,9
006SSEE,right,images/base/11_a.png,images/combined/11_a_x_315_y_0_z_270.png,left,0,5.9564,MR,medium,10
006SSEE,left,images/base/15_b.png,images/combined/15_a_x_315_y_0_z_270.png,left,1,34.6784,MR,medium,11
006SSEE,right,images/base/6_b.png,images/combined/6_b_x_45_y_0_z_270.png,right,1,5.9294,MR,medium,12
006SSEE,right,images/base/2_a.png,images/combined/2_a_x_315_y_0_z_90.png,left,0,5.9762,MR,medium,13
006SSEE,right,images/base/14_b.png,images/combined/14_b_x_45_y_0_z_90.png,right,1,7.304,MR,medium,14
006SSEE,right,images/base/7_a.png,images/combined/7_a_x_315_y_0_z_90.png,left,0,4.2067,MR,medium,15
006SSEE,right,images/base/9_a.png,images/combined/9_a_x_315_y_0_z_90.png,right,1,5.8976,MR,medium,16
006SSEE,right,images/base/10_b.png,images/combined/10_b_x_90_y_0_z_90.png,right,1,12.1778,MR,hard,1
006SSEE,left,images/base/9_a.png,images/combined/9_b_x_90_y_0_z_270.png,left,1,20.5067,MR,hard,2
006SSEE,right,images/base/6_b.png,images/combined/6_b_x_270_y_0_z_270.png,right,1,1.3351,MR,hard,3
006SSEE,right,images/base/1_b.png,images/combined/1_b_x_90_y_0_z_270.png,right,1,1.7031,MR,hard,4
006SSEE,left,images/base/13_a.png,images/combined/13_b_x_90_y_0_z_270.png,right,0,1.7545,MR,hard,5
006SSEE,right,images/base/12_a.png,images/combined/12_a_x_90_y_0_z_270.png,right,1,3.4102,MR,hard,6
006SSEE,right,images/base/14_b.png,images/combined/14_b_x_90_y_0_z_270.png,right,1,4.4527,MR,hard,7
006SSEE,left,images/base/16_b.png,images/combined/16_a_x_270_y_0_z_270.png,left,1,7.8819,MR,hard,8
006SSEE,left,images/base/2_a.png,images/combined/2_b_x_90_y_0_z_270.png,left,1,12.163,MR,hard,9
006SSEE,left,images/base/7_a.png,images/combined/7_b_x_270_y_0_z_270.png,left,1,10.2956,MR,hard,10
006SSEE,right,images/base/11_b.png,images/combined/11_b_x_270_y_0_z_90.png,right,1,2.2534,MR,hard,11
006SSEE,left,images/base/5_b.png,images/combined/5_a_x_90_y_0_z_270.png,right,0,10.7231,MR,hard,12
006SSEE,left,images/base/8_a.png,images/combined/8_b_x_270_y_0_z_270.png,right,0,4.5045,MR,hard,13
006SSEE,left,images/base/3_b.png,images/combined/3_a_x_90_y_0_z_270.png,left,1,3.4932,MR,hard,14
006SSEE,right,images/base/15_a.png,images/combined/15_a_x_270_y_0_z_90.png,right,1,2.9052,MR,hard,15
006SSEE,left,images/base/4_a.png,images/combined/4_b_x_90_y_0_z_90.png,right,0,0.8923,MR,hard,16
007SSJM,right,images/base/7_a.png,images/combined/7_a_x_0_y_0_z_315.png,right,1,4.698,MR,easy,1
007SSJM,left,images/base/3_b.png,images/combined/3_a_x_0_y_0_z_315.png,left,1,7.157,MR,easy,2
