scale,score,task,level,id
PH,10.98848168,MS,medium,6xDo1DDaCf
TI,10,MS,medium,6xDo1DDaCf
PE,19.98534031,MS,medium,6xDo1DDaCf
EF,15.94764398,MS,medium,6xDo1DDaCf
FR,14.03769634,MS,medium,6xDo1DDaCf
ME,12.9486911,ST,medium,6xDo1DDaCf
PH,2.041884817,ST,medium,6xDo1DDaCf
TI,5.962303665,ST,medium,6xDo1DDaCf
PE,19.96858639,ST,medium,6xDo1DDaCf
EF,15.05968586,ST,medium,6xDo1DDaCf
FR,15.02617801,ST,medium,6xDo1DDaCf
ME,13.03246073,MR,hard,6xDo1DDaCf
PH,5.057591623,MR,hard,6xDo1DDaCf
TI,3.030366492,MR,hard,6xDo1DDaCf
PE,18.98010471,MR,hard,6xDo1DDaCf
EF,15.00942408,MR,hard,6xDo1DDaCf
FR,12.07748691,MR,hard,6xDo1DDaCf
ME,10.97172775,ST,easy,6xDo1DDaCf
PH,2.996858639,ST,easy,6xDo1DDaCf
TI,3.985340314,ST,easy,6xDo1DDaCf
PE,19.96858639,ST,easy,6xDo1DDaCf
EF,10.90471204,ST,easy,6xDo1DDaCf
FR,9.966492147,ST,easy,6xDo1DDaCf
ME,18.89633508,ST,hard,6xDo1DDaCf
PH,1.019895288,ST,hard,6xDo1DDaCf
TI,5.962303665,ST,hard,6xDo1DDaCf
PE,19.96858639,ST,hard,6xDo1DDaCf
EF,18.00837696,ST,hard,6xDo1DDaCf
FR,16.86910995,ST,hard,6xDo1DDaCf
ME,14.96296296,MR,easy,9ZffIZqFHz
PH,1.97037037,MR,easy,9ZffIZqFHz
TI,4.948148148,MR,easy,9ZffIZqFHz
PE,12.14814815,MR,easy,9ZffIZqFHz
EF,14.96296296,MR,easy,9ZffIZqFHz
FR,13.94074074,MR,easy,9ZffIZqFHz
ME,15.97037037,MS,medium,9ZffIZqFHz
PH,4.962962963,MS,medium,9ZffIZqFHz
TI,13.12592593,MS,medium,9ZffIZqFHz
PE,19.86666667,MS,medium,9ZffIZqFHz
EF,12.88888889,MS,medium,9ZffIZqFHz
FR,1.066666667,MS,medium,9ZffIZqFHz
ME,8.77037037,MR,medium,9ZffIZqFHz
PH,0.918518519,MR,medium,9ZffIZqFHz
TI,8.977777778,MR,medium,9ZffIZqFHz
PE,15.05185185,MR,medium,9ZffIZqFHz
EF,12.14814815,MR,medium,9ZffIZqFHz
FR,7.822222222,MR,medium,9ZffIZqFHz
ME,14.16296296,ST,easy,9ZffIZqFHz
PH,1.925925926,ST,easy,9ZffIZqFHz
TI,16.96296296,ST,easy,9ZffIZqFHz
PE,17.05185185,ST,easy,9ZffIZqFHz
EF,12.02962963,ST,easy,9ZffIZqFHz
FR,1.214814815,ST,easy,9ZffIZqFHz
ME,19.88148148,MS,hard,9ZffIZqFHz
PH,9.022222222,MS,hard,9ZffIZqFHz
TI,19.03703704,MS,hard,9ZffIZqFHz
PE,7.007407407,MS,hard,9ZffIZqFHz
EF,19.97037037,MS,hard,9ZffIZqFHz
FR,17.97037037,MS,hard,9ZffIZqFHz
ME,9.940740741,MR,hard,9ZffIZqFHz
PH,0.977777778,MR,hard,9ZffIZqFHz
TI,3.081481481,MR,hard,9ZffIZqFHz
PE,13.95555556,MR,hard,9ZffIZqFHz
EF,11.02222222,MR,hard,9ZffIZqFHz
FR,4.088888889,MR,hard,9ZffIZqFHz
ME,17.8962963,ST,medium,9ZffIZqFHz
PH,2.044444444,ST,medium,9ZffIZqFHz
TI,19.8962963,ST,medium,9ZffIZqFHz
PE,10.88888889,ST,medium,9ZffIZqFHz
EF,15.05185185,ST,medium,9ZffIZqFHz
FR,13.97037037,ST,medium,9ZffIZqFHz
ME,3.022222222,MS,easy,9ZffIZqFHz
PH,0.014814815,MS,easy,9ZffIZqFHz
TI,2.103703704,MS,easy,9ZffIZqFHz
PE,19.88148148,MS,easy,9ZffIZqFHz
EF,4.192592593,MS,easy,9ZffIZqFHz
FR,0.207407407,MS,easy,9ZffIZqFHz
ME,13.82222222,ST,hard,9ZffIZqFHz
PH,1.911111111,ST,hard,9ZffIZqFHz
TI,19.88148148,ST,hard,9ZffIZqFHz
PE,6.962962963,ST,hard,9ZffIZqFHz
EF,14.47407407,ST,hard,9ZffIZqFHz
FR,18.77037037,ST,hard,9ZffIZqFHz
ME,2.017777778,MS,easy,wiRZfBYOru
PH,1.875555556,MS,easy,wiRZfBYOru
TI,2.213333333,MS,easy,wiRZfBYOru
PE,19.81333333,MS,easy,wiRZfBYOru
EF,1.004444444,MS,easy,wiRZfBYOru
FR,1.431111111,MS,easy,wiRZfBYOru
ME,15.03111111,ST,medium,wiRZfBYOru
PH,13.98222222,ST,medium,wiRZfBYOru
TI,15.90222222,ST,medium,wiRZfBYOru
PE,15.70666667,ST,medium,wiRZfBYOru
EF,14.62222222,ST,medium,wiRZfBYOru
FR,13.89333333,ST,medium,wiRZfBYOru
ME,18.92444444,MS,hard,wiRZfBYOru
PH,15.88444444,MS,hard,wiRZfBYOru
TI,18.10666667,MS,hard,wiRZfBYOru
PE,16.59555556,MS,hard,wiRZfBYOru
EF,19.63555556,MS,hard,wiRZfBYOru
FR,18.76444444,MS,hard,wiRZfBYOru
ME,10,ST,easy,wiRZfBYOru
PH,10,ST,easy,wiRZfBYOru
TI,10,ST,easy,wiRZfBYOru
PE,18.78222222,ST,easy,wiRZfBYOru
EF,9.751111111,ST,easy,wiRZfBYOru
FR,10.17777778,ST,easy,wiRZfBYOru
ME,13.76888889,MR,hard,wiRZfBYOru
PH,14,MR,hard,wiRZfBYOru
TI,14.08888889,MR,hard,wiRZfBYOru
PE,7.884444444,MR,hard,wiRZfBYOru
EF,13.53777778,MR,hard,wiRZfBYOru
FR,15.45777778,MR,hard,wiRZfBYOru
ME,13.62666667,MR,medium,wiRZfBYOru
PH,14.10666667,MR,medium,wiRZfBYOru
TI,13.75111111,MR,medium,wiRZfBYOru
PE,13.75111111,MR,medium,wiRZfBYOru
EF,13.76888889,MR,medium,wiRZfBYOru
FR,13.82222222,MR,medium,wiRZfBYOru
ME,17.21777778,MS,medium,wiRZfBYOru
PH,16.98666667,MS,medium,wiRZfBYOru
TI,17.02222222,MS,medium,wiRZfBYOru
PE,18.69333333,MS,medium,wiRZfBYOru
EF,17.2,MS,medium,wiRZfBYOru
FR,16.54222222,MS,medium,wiRZfBYOru
ME,15.86666667,ST,hard,wiRZfBYOru
PH,11.61777778,ST,hard,wiRZfBYOru
TI,12.43555556,ST,hard,wiRZfBYOru
PE,17.68,ST,hard,wiRZfBYOru
EF,17.36,ST,hard,wiRZfBYOru
FR,17.84,ST,hard,wiRZfBYOru
ME,16.04444444,MR,easy,wiRZfBYOru
PH,13.60888889,MR,easy,wiRZfBYOru
TI,10.55111111,MR,easy,wiRZfBYOru
PE,16.54222222,MR,easy,wiRZfBYOru
EF,12.72,MR,easy,wiRZfBYOru
FR,11.45777778,MR,easy,wiRZfBYOru
ME,11.67407407,MR,easy,cCWrG11sgp
PH,2.755555556,MR,easy,cCWrG11sgp
TI,9.97037037,MR,easy,cCWrG11sgp
PE,7.007407407,MR,easy,cCWrG11sgp
EF,14.9037037,MR,easy,cCWrG11sgp
FR,5.822222222,MR,easy,cCWrG11sgp
ME,16.9037037,ST,hard,cCWrG11sgp
PH,2.533333333,ST,hard,cCWrG11sgp
TI,15.86666667,ST,hard,cCWrG11sgp
PE,6.992592593,ST,hard,cCWrG11sgp
EF,17.97037037,ST,hard,cCWrG11sgp
FR,7.985185185,ST,hard,cCWrG11sgp
ME,14.97777778,MR,medium,cCWrG11sgp
PH,15.14074074,MR,medium,cCWrG11sgp
TI,13.98518519,MR,medium,cCWrG11sgp
PE,5.985185185,MR,medium,cCWrG11sgp
EF,14.99259259,MR,medium,cCWrG11sgp
FR,7.97037037,MR,medium,cCWrG11sgp
ME,16.97777778,MS,hard,cCWrG11sgp
PH,7.155555556,MS,hard,cCWrG11sgp
TI,19.85185185,MS,hard,cCWrG11sgp
PE,6.888888889,MS,hard,cCWrG11sgp
EF,20,MS,hard,cCWrG11sgp
FR,11.00740741,MS,hard,cCWrG11sgp
ME,17.88148148,MS,medium,cCWrG11sgp
PH,8.918518519,MS,medium,cCWrG11sgp
TI,20,MS,medium,cCWrG11sgp
PE,8.918518519,MS,medium,cCWrG11sgp
EF,20,MS,medium,cCWrG11sgp
FR,12.01481481,MS,medium,cCWrG11sgp
ME,13.02222222,ST,easy,cCWrG11sgp
PH,6.044444444,ST,easy,cCWrG11sgp
TI,20,ST,easy,cCWrG11sgp
PE,10.01481481,ST,easy,cCWrG11sgp
EF,20,ST,easy,cCWrG11sgp
FR,10.99259259,ST,easy,cCWrG11sgp
ME,15.00740741,MS,easy,cCWrG11sgp
PH,6.992592593,MS,easy,cCWrG11sgp
TI,18.72592593,MS,easy,cCWrG11sgp
PE,13.88148148,MS,easy,cCWrG11sgp
EF,17.03703704,MS,easy,cCWrG11sgp
FR,15.46666667,MS,easy,cCWrG11sgp
ME,16.4,ST,medium,cCWrG11sgp
PH,8.37037037,ST,medium,cCWrG11sgp
TI,19.58518519,ST,medium,cCWrG11sgp
PE,11.02222222,ST,medium,cCWrG11sgp
EF,20,ST,medium,cCWrG11sgp
FR,15.37777778,ST,medium,cCWrG11sgp
ME,18.01481481,MR,hard,cCWrG11sgp
PH,7.896296296,MR,hard,cCWrG11sgp
TI,16.82962963,MR,hard,cCWrG11sgp
PE,5.451851852,MR,hard,cCWrG11sgp
EF,20,MR,hard,cCWrG11sgp
FR,17.58518519,MR,hard,cCWrG11sgp
ME,11.97037082,MS,easy,gI6hCgCchT
PH,1.955555556,MS,easy,gI6hCgCchT
TI,9.985186089,MS,easy,gI6hCgCchT
PE,17.98518609,MS,easy,gI6hCgCchT
EF,4.962963189,MS,easy,gI6hCgCchT
FR,0.118518745,MS,easy,gI6hCgCchT
ME,13.92592638,MR,medium,gI6hCgCchT
PH,1.940740967,MR,medium,gI6hCgCchT
TI,1.185185411,MR,medium,gI6hCgCchT
PE,16.91851942,MR,medium,gI6hCgCchT
EF,14.07407498,MR,medium,gI6hCgCchT
FR,10.02963053,MR,medium,gI6hCgCchT
ME,3.925926378,MR,easy,gI6hCgCchT
PH,0.962963189,MR,easy,gI6hCgCchT
TI,0.177777778,MR,easy,gI6hCgCchT
PE,19.88148329,MR,easy,gI6hCgCchT
EF,2.962963189,MR,easy,gI6hCgCchT
FR,2.118518745,MR,easy,gI6hCgCchT
ME,12.88888889,ST,medium,gI6hCgCchT
PH,1.03703715,ST,medium,gI6hCgCchT
TI,18.94814996,ST,medium,gI6hCgCchT
PE,16,ST,medium,gI6hCgCchT
EF,13.06666667,ST,medium,gI6hCgCchT
FR,12.97777778,ST,medium,gI6hCgCchT
ME,19.64444444,MS,medium,gI6hCgCchT
PH,5.940740967,MS,medium,gI6hCgCchT
TI,18.04444444,MS,medium,gI6hCgCchT
PE,10.05925971,MS,medium,gI6hCgCchT
EF,19.00740831,MS,medium,gI6hCgCchT
FR,18.51851942,MS,medium,gI6hCgCchT
ME,3.555555556,ST,easy,gI6hCgCchT
PH,0.251852078,ST,easy,gI6hCgCchT
TI,3.7481486,ST,easy,gI6hCgCchT
PE,18.96296387,ST,easy,gI6hCgCchT
EF,4.088888889,ST,easy,gI6hCgCchT
FR,2.251852078,ST,easy,gI6hCgCchT
ME,12.88888889,MR,hard,gI6hCgCchT
PH,1.955555556,MR,hard,gI6hCgCchT
TI,3.985185411,MR,hard,gI6hCgCchT
PE,10.05925971,MR,hard,gI6hCgCchT
EF,12.1481486,MR,hard,gI6hCgCchT
FR,15.06666667,MR,hard,gI6hCgCchT
ME,20,MS,hard,gI6hCgCchT
PH,5.096296522,MS,hard,gI6hCgCchT
TI,19.86666667,MS,hard,gI6hCgCchT
PE,0.133333333,MS,hard,gI6hCgCchT
EF,19.70370551,MS,hard,gI6hCgCchT
FR,19.83703885,MS,hard,gI6hCgCchT
ME,19.6,ST,hard,gI6hCgCchT
PH,3.066666667,ST,hard,gI6hCgCchT
TI,19.4962972,ST,hard,gI6hCgCchT
PE,12.02963053,ST,hard,gI6hCgCchT
EF,19.8962972,ST,hard,gI6hCgCchT
FR,19.92592773,ST,hard,gI6hCgCchT
ME,0.059259203,MS,easy,kGWL9y5AS9
PH,0.429629573,MS,easy,kGWL9y5AS9
TI,0.088888945,MS,easy,kGWL9y5AS9
PE,19.92592593,MS,easy,kGWL9y5AS9
EF,1.007407294,MS,easy,kGWL9y5AS9
FR,0.029629743,MS,easy,kGWL9y5AS9
ME,13.94074051,MS,hard,kGWL9y5AS9
PH,16,MS,hard,kGWL9y5AS9
TI,9.940740515,MS,hard,kGWL9y5AS9
PE,19.4518523,MS,hard,kGWL9y5AS9
EF,19.76296432,MS,hard,kGWL9y5AS9
FR,1.111111111,MS,hard,kGWL9y5AS9
ME,18.90370461,ST,hard,kGWL9y5AS9
PH,0.029629743,ST,hard,kGWL9y5AS9
TI,17.12592683,ST,hard,kGWL9y5AS9
PE,18.10370325,ST,hard,kGWL9y5AS9
EF,18.9481495,ST,hard,kGWL9y5AS9
FR,2.059259485,ST,hard,kGWL9y5AS9
ME,18.93333379,MR,medium,kGWL9y5AS9
PH,1.111111111,MR,medium,kGWL9y5AS9
TI,0.059259203,MR,medium,kGWL9y5AS9
PE,4.93333322,MR,medium,kGWL9y5AS9
EF,3.096296522,MR,medium,kGWL9y5AS9
FR,4,MR,medium,kGWL9y5AS9
ME,17.94074164,ST,medium,kGWL9y5AS9
PH,2.93333322,ST,medium,kGWL9y5AS9
TI,9.955556234,ST,medium,kGWL9y5AS9
PE,19.4962972,ST,medium,kGWL9y5AS9
EF,3.985185411,ST,medium,kGWL9y5AS9
FR,1.037037037,ST,medium,kGWL9y5AS9
ME,19.98518654,MR,hard,kGWL9y5AS9
PH,1.881481595,MR,hard,kGWL9y5AS9
TI,0.207407351,MR,hard,kGWL9y5AS9
PE,5.007407294,MR,hard,kGWL9y5AS9
EF,19.9555551,MR,hard,kGWL9y5AS9
FR,10.10370438,MR,hard,kGWL9y5AS9
ME,19.83703839,MR,easy,kGWL9y5AS9
PH,9.851851852,MR,easy,kGWL9y5AS9
TI,0,MR,easy,kGWL9y5AS9
PE,4.059259485,MR,easy,kGWL9y5AS9
EF,19.89629675,MR,easy,kGWL9y5AS9
FR,10.25185253,MR,easy,kGWL9y5AS9
ME,13.98518541,ST,easy,kGWL9y5AS9
PH,9.896296748,ST,easy,kGWL9y5AS9
TI,9.985185411,ST,easy,kGWL9y5AS9
PE,19.51111066,ST,easy,kGWL9y5AS9
EF,18.05926062,ST,easy,kGWL9y5AS9
FR,0.162963019,ST,easy,kGWL9y5AS9
ME,18.91851807,MS,medium,kGWL9y5AS9
PH,18.91851807,MS,medium,kGWL9y5AS9
TI,10.0444449,MS,medium,kGWL9y5AS9
PE,19.42222313,MS,medium,kGWL9y5AS9
EF,18.99259214,MS,medium,kGWL9y5AS9
FR,4.074074074,MS,medium,kGWL9y5AS9
ME,1.97037037,MR,hard,ntoLpzjCrW
PH,2,MR,hard,ntoLpzjCrW
TI,2.014814815,MR,hard,ntoLpzjCrW
PE,15.97037037,MR,hard,ntoLpzjCrW
EF,2.103703704,MR,hard,ntoLpzjCrW
FR,1.97037037,MR,hard,ntoLpzjCrW
ME,2.02962963,MR,easy,ntoLpzjCrW
PH,0.948148148,MR,easy,ntoLpzjCrW
TI,2,MR,easy,ntoLpzjCrW
PE,14,MR,easy,ntoLpzjCrW
EF,0.962962963,MR,easy,ntoLpzjCrW
FR,1.037037037,MR,easy,ntoLpzjCrW
ME,3.925925926,MS,medium,ntoLpzjCrW
PH,4.02962963,MS,medium,ntoLpzjCrW
TI,2.888888889,MS,medium,ntoLpzjCrW
PE,17.88148148,MS,medium,ntoLpzjCrW
EF,3.214814815,MS,medium,ntoLpzjCrW
FR,3.051851852,MS,medium,ntoLpzjCrW
ME,4.859259259,MR,medium,ntoLpzjCrW
PH,4.962962963,MR,medium,ntoLpzjCrW
TI,5.17037037,MR,medium,ntoLpzjCrW
PE,17.02222222,MR,medium,ntoLpzjCrW
EF,3.925925926,MR,medium,ntoLpzjCrW
FR,5.051851852,MR,medium,ntoLpzjCrW
ME,9.925925926,MS,easy,ntoLpzjCrW
PH,9.955555556,MS,easy,ntoLpzjCrW
TI,9.940740741,MS,easy,ntoLpzjCrW
PE,9.940740741,MS,easy,ntoLpzjCrW
EF,9.940740741,MS,easy,ntoLpzjCrW
FR,9.911111111,MS,easy,ntoLpzjCrW
ME,15.97037037,MS,hard,ntoLpzjCrW
PH,15.97037037,MS,hard,ntoLpzjCrW
TI,15.97037037,MS,hard,ntoLpzjCrW
PE,15.97037037,MS,hard,ntoLpzjCrW
EF,15.97037037,MS,hard,ntoLpzjCrW
FR,15.97037037,MS,hard,ntoLpzjCrW
ME,15.94074074,ST,hard,ntoLpzjCrW
PH,15.92592593,ST,hard,ntoLpzjCrW
TI,15.92592593,ST,hard,ntoLpzjCrW
PE,15.92592593,ST,hard,ntoLpzjCrW
EF,15.92592593,ST,hard,ntoLpzjCrW
FR,15.92592593,ST,hard,ntoLpzjCrW
ME,16.87407407,ST,easy,ntoLpzjCrW
PH,16.9037037,ST,easy,ntoLpzjCrW
TI,16.9037037,ST,easy,ntoLpzjCrW
PE,16.9037037,ST,easy,ntoLpzjCrW
EF,16.9037037,ST,easy,ntoLpzjCrW
FR,16.9037037,ST,easy,ntoLpzjCrW
ME,16.9037037,ST,medium,ntoLpzjCrW
PH,16.93333333,ST,medium,ntoLpzjCrW
TI,16.93333333,ST,medium,ntoLpzjCrW
PE,16.93333333,ST,medium,ntoLpzjCrW
EF,16.93333333,ST,medium,ntoLpzjCrW
FR,16.93333333,ST,medium,ntoLpzjCrW
ME,15.9055794,ST,hard,12zOSfawTO
PH,6.446351931,ST,hard,12zOSfawTO
TI,16.30042918,ST,hard,12zOSfawTO
PE,6.326180258,ST,hard,12zOSfawTO
EF,12.71244635,ST,hard,12zOSfawTO
