id,level,task,rt,acc
xYKzEb6U69,hard,ST,1.14435625,0.5625
xYKzEb6U69,medium,ST,1.77858125,0.75
xtgn1TlDJE,easy,ST,0.68839375,0.9375
xtgn1TlDJE,hard,ST,1.05803125,0.5
xtgn1TlDJE,medium,ST,0.70318125,0.875
y4Sh5zF3gm,easy,ST,1.31898125,1
y4Sh5zF3gm,hard,ST,1.59750625,0.75
y4Sh5zF3gm,medium,ST,1.3362875,0.75
yIjm6EG67z,easy,ST,1.1126875,1
yIjm6EG67z,hard,ST,1.888625,0.5625
yIjm6EG67z,medium,ST,1.3294375,0.8125
yRSAaGEgHo,easy,ST,0.79098125,1
yRSAaGEgHo,hard,ST,1.16998125,0.8125
yRSAaGEgHo,medium,ST,0.772575,0.75
z8uZORh5Lg,easy,ST,1.48895625,1
z8uZORh5Lg,hard,ST,2.566,0.75
z8uZORh5Lg,medium,ST,2.01565,1
z93bJWn4hw,easy,ST,0.79121875,1
z93bJWn4hw,hard,ST,1.20705625,0.75
z93bJWn4hw,medium,ST,2.57134375,0.9375
