level,task,order,id,pool
easy,MS,6,cSI9W49vxo,pool34
hard,ST,7,cSI9W49vxo,pool34
medium,ST,8,cSI9W49vxo,pool34
easy,MR,9,cSI9W49vxo,pool34
medium,MS,1,wT2BNjpDXV,pool5
medium,ST,2,wT2BNjpDXV,pool5
hard,MS,3,wT2BNjpDXV,pool5
hard,MR,4,wT2BNjpDXV,pool5
medium,MR,5,wT2BNjpDXV,pool5
hard,ST,6,wT2BNjpDXV,pool5
easy,ST,7,wT2BNjpDXV,pool5
easy,MS,8,wT2BNjpDXV,pool5
easy,MR,9,wT2BNjpDXV,pool5
hard,MR,1,MArUzIGtu1,pool5
medium,MS,2,MArUzIGtu1,pool5
medium,MR,3,MArUzIGtu1,pool5
hard,ST,4,MArUzIGtu1,pool5
easy,MR,5,MArUzIGtu1,pool5
hard,MS,6,MArUzIGtu1,pool5
easy,ST,7,MArUzIGtu1,pool5
easy,MS,8,MArUzIGtu1,pool5
medium,ST,9,MArUzIGtu1,pool5
easy,MR,1,YQfNrv0e5B,pool5
easy,MS,2,YQfNrv0e5B,pool5
medium,ST,3,YQfNrv0e5B,pool5
hard,MR,4,YQfNrv0e5B,pool5
medium,MS,5,YQfNrv0e5B,pool5
hard,ST,6,YQfNrv0e5B,pool5
easy,ST,7,YQfNrv0e5B,pool5
hard,MS,8,YQfNrv0e5B,pool5
medium,MR,9,YQfNrv0e5B,pool5
hard,MR,1,yVjHadDLmM,pool5
medium,MR,2,yVjHadDLmM,pool5
medium,ST,3,yVjHadDLmM,pool5
medium,MS,4,yVjHadDLmM,pool5
easy,MS,5,yVjHadDLmM,pool5
hard,ST,6,yVjHadDLmM,pool5
easy,ST,7,yVjHadDLmM,pool5
hard,MS,8,yVjHadDLmM,pool5
easy,MR,9,yVjHadDLmM,pool5
easy,ST,1,Mh4D0deXmE,pool5
hard,MS,2,Mh4D0deXmE,pool5
hard,MR,3,Mh4D0deXmE,pool5
medium,ST,4,Mh4D0deXmE,pool5
medium,MS,5,Mh4D0deXmE,pool5
medium,MR,6,Mh4D0deXmE,pool5
easy,MR,7,Mh4D0deXmE,pool5
hard,ST,8,Mh4D0deXmE,pool5
easy,MS,9,Mh4D0deXmE,pool5
easy,MS,1,4PjgFYmt2Z,pool5
hard,MR,2,4PjgFYmt2Z,pool5
easy,ST,3,4PjgFYmt2Z,pool5
medium,ST,4,4PjgFYmt2Z,pool5
hard,ST,5,4PjgFYmt2Z,pool5
medium,MS,6,4PjgFYmt2Z,pool5
easy,MR,7,4PjgFYmt2Z,pool5
hard,MS,8,4PjgFYmt2Z,pool5
medium,MR,9,4PjgFYmt2Z,pool5
easy,ST,1,0a4DqEEKSb,pool5
hard,MS,2,0a4DqEEKSb,pool5
medium,ST,3,0a4DqEEKSb,pool5
hard,MR,4,0a4DqEEKSb,pool5
easy,MR,5,0a4DqEEKSb,pool5
medium,MS,6,0a4DqEEKSb,pool5
easy,MS,7,0a4DqEEKSb,pool5
hard,ST,8,0a4DqEEKSb,pool5
medium,MR,9,0a4DqEEKSb,pool5
easy,MS,1,8JrN5VwG94,pool5
medium,ST,2,8JrN5VwG94,pool5
medium,MR,3,8JrN5VwG94,pool5
easy,MR,4,8JrN5VwG94,pool5
hard,ST,5,8JrN5VwG94,pool5
easy,ST,6,8JrN5VwG94,pool5
medium,MS,7,8JrN5VwG94,pool5
hard,MR,8,8JrN5VwG94,pool5
hard,MS,9,8JrN5VwG94,pool5
easy,MR,1,v8TXZ0YflN,pool5
hard,MS,2,v8TXZ0YflN,pool5
medium,MS,3,v8TXZ0YflN,pool5
hard,MR,4,v8TXZ0YflN,pool5
easy,ST,5,v8TXZ0YflN,pool5
medium,MR,6,v8TXZ0YflN,pool5
hard,ST,7,v8TXZ0YflN,pool5
easy,MS,8,v8TXZ0YflN,pool5
medium,ST,9,v8TXZ0YflN,pool5
hard,ST,1,TT3KEsSN3J,pool5
medium,ST,2,TT3KEsSN3J,pool5
medium,MS,3,TT3KEsSN3J,pool5
hard,MS,4,TT3KEsSN3J,pool5
hard,MR,5,TT3KEsSN3J,pool5
medium,MR,6,TT3KEsSN3J,pool5
easy,MS,7,TT3KEsSN3J,pool5
easy,MR,8,TT3KEsSN3J,pool5
easy,ST,9,TT3KEsSN3J,pool5
hard,MR,1,t9OiOaQwxH,pool5
medium,ST,2,t9OiOaQwxH,pool5
hard,MS,3,t9OiOaQwxH,pool5
easy,MR,4,t9OiOaQwxH,pool5
medium,MS,5,t9OiOaQwxH,pool5
easy,MS,6,t9OiOaQwxH,pool5
easy,ST,7,t9OiOaQwxH,pool5
medium,MR,8,t9OiOaQwxH,pool5
hard,ST,9,t9OiOaQwxH,pool5
medium,MR,1,2W50OifXwA,pool5
easy,MS,2,2W50OifXwA,pool5
