target_present,key,is_correct,rt,task,level,trial,id
1,right,1,0.9088,ST,easy,2,uofo7FKPdo
0,left,1,0.6296,ST,easy,3,uofo7FKPdo
1,right,1,1.1169,ST,easy,4,uofo7FKPdo
0,left,1,0.6443,ST,easy,5,uofo7FKPdo
1,right,1,0.5898,ST,easy,6,uofo7FKPdo
1,right,1,0.6862,ST,easy,7,uofo7FKPdo
1,right,1,0.9672,ST,easy,8,uofo7FKPdo
1,right,1,0.4921,ST,easy,9,uofo7FKPdo
1,right,1,0.5901,ST,easy,10,uofo7FKPdo
1,right,1,0.609,ST,easy,11,uofo7FKPdo
1,right,1,0.5909,ST,easy,12,uofo7FKPdo
0,left,1,0.7665,ST,easy,13,uofo7FKPdo
1,right,1,0.7102,ST,easy,14,uofo7FKPdo
0,left,1,0.7342,ST,easy,15,uofo7FKPdo
0,left,1,0.8084,ST,easy,16,uofo7FKPdo
0,left,1,0.6663,ST,hard,1,uofo7FKPdo
0,left,1,1.0984,ST,hard,2,uofo7FKPdo
0,left,1,0.7104,ST,hard,3,uofo7FKPdo
1,right,1,1.3263,ST,hard,4,uofo7FKPdo
0,left,1,0.8004,ST,hard,5,uofo7FKPdo
1,right,1,1.2474,ST,hard,6,uofo7FKPdo
0,right,0,0.7609,ST,hard,7,uofo7FKPdo
1,left,0,0.7095,ST,hard,8,uofo7FKPdo
1,right,1,0.4675,ST,hard,9,uofo7FKPdo
1,right,1,0.5941,ST,hard,10,uofo7FKPdo
0,left,1,0.801,ST,hard,11,uofo7FKPdo
1,right,1,0.6439,ST,hard,12,uofo7FKPdo
0,left,1,0.655,ST,hard,13,uofo7FKPdo
0,right,0,1.0019,ST,hard,14,uofo7FKPdo
1,right,1,0.5365,ST,hard,15,uofo7FKPdo
1,right,1,0.6316,ST,hard,16,uofo7FKPdo
0,left,1,0.7993,ST,medium,1,uofo7FKPdo
0,right,0,1.436,ST,medium,2,uofo7FKPdo
0,left,1,0.6848,ST,medium,3,uofo7FKPdo
0,left,1,0.5495,ST,medium,4,uofo7FKPdo
0,left,1,0.8684,ST,medium,5,uofo7FKPdo
1,left,0,0.6766,ST,medium,6,uofo7FKPdo
0,left,1,0.6064,ST,medium,7,uofo7FKPdo
1,left,0,0.6371,ST,medium,8,uofo7FKPdo
1,right,1,0.5811,ST,medium,9,uofo7FKPdo
1,right,1,2.5981,ST,medium,10,uofo7FKPdo
1,left,0,1.0303,ST,medium,11,uofo7FKPdo
1,right,1,1.8881,ST,medium,12,uofo7FKPdo
0,left,1,0.8486,ST,medium,13,uofo7FKPdo
0,left,1,0.8542,ST,medium,14,uofo7FKPdo
0,left,1,0.5719,ST,medium,15,uofo7FKPdo
1,right,1,0.7176,ST,medium,16,uofo7FKPdo
0,left,1,0.895,ST,easy,1,VEZTZ89Pge
1,right,1,1.266,ST,easy,2,VEZTZ89Pge
0,left,1,0.882,ST,easy,3,VEZTZ89Pge
0,left,1,1.264,ST,easy,4,VEZTZ89Pge
1,right,1,1.1,ST,easy,5,VEZTZ89Pge
0,left,1,0.62,ST,easy,6,VEZTZ89Pge
1,right,1,0.87,ST,easy,7,VEZTZ89Pge
0,left,1,0.833,ST,easy,8,VEZTZ89Pge
1,right,1,0.915,ST,easy,9,VEZTZ89Pge
1,right,1,1.181,ST,easy,10,VEZTZ89Pge
1,right,1,1.231,ST,easy,11,VEZTZ89Pge
1,left,0,1.749,ST,easy,12,VEZTZ89Pge
1,right,1,0.848,ST,easy,13,VEZTZ89Pge
0,left,1,1.722,ST,easy,14,VEZTZ89Pge
0,left,1,0.852,ST,easy,15,VEZTZ89Pge
1,right,1,0.83,ST,easy,16,VEZTZ89Pge
0,right,0,1.837,ST,hard,1,VEZTZ89Pge
1,left,0,1.102,ST,hard,2,VEZTZ89Pge
1,left,0,1.101,ST,hard,3,VEZTZ89Pge
1,right,1,1.066,ST,hard,4,VEZTZ89Pge
1,right,1,1.449,ST,hard,5,VEZTZ89Pge
0,left,1,0.965,ST,hard,6,VEZTZ89Pge
0,left,1,1.141,ST,hard,7,VEZTZ89Pge
1,right,1,1.45,ST,hard,8,VEZTZ89Pge
1,left,0,0.265,ST,hard,9,VEZTZ89Pge
0,left,1,3.535,ST,hard,10,VEZTZ89Pge
0,left,1,1.181,ST,hard,11,VEZTZ89Pge
0,right,0,1.386,ST,hard,12,VEZTZ89Pge
0,left,1,1.067,ST,hard,13,VEZTZ89Pge
0,right,0,1.116,ST,hard,14,VEZTZ89Pge
0,left,1,1.09,ST,hard,15,VEZTZ89Pge
0,left,1,1.212,ST,hard,16,VEZTZ89Pge
0,left,1,1.806,ST,medium,1,VEZTZ89Pge
1,right,1,1.235,ST,medium,2,VEZTZ89Pge
1,right,1,2.26,ST,medium,3,VEZTZ89Pge
0,left,1,1.607,ST,medium,4,VEZTZ89Pge
0,left,1,2.292,ST,medium,5,VEZTZ89Pge
0,left,1,1.758,ST,medium,6,VEZTZ89Pge
0,left,1,1.299,ST,medium,7,VEZTZ89Pge
0,left,1,1.316,ST,medium,8,VEZTZ89Pge
1,left,0,1.203,ST,medium,9,VEZTZ89Pge
0,right,0,1.435,ST,medium,10,VEZTZ89Pge
1,right,1,1.18,ST,medium,11,VEZTZ89Pge
0,left,1,1.406,ST,medium,12,VEZTZ89Pge
1,left,0,0.964,ST,medium,13,VEZTZ89Pge
1,left,0,1.141,ST,medium,14,VEZTZ89Pge
1,left,0,0.95,ST,medium,15,VEZTZ89Pge
0,left,1,2.047,ST,medium,16,VEZTZ89Pge
0,left,1,1.1415,ST,easy,1,HF94YUUt2C
0,left,1,1.1284,ST,easy,2,HF94YUUt2C
0,left,1,0.7173,ST,easy,3,HF94YUUt2C
0,left,1,0.8861,ST,easy,4,HF94YUUt2C
1,right,1,0.9373,ST,easy,5,HF94YUUt2C
1,right,1,0.707,ST,easy,6,HF94YUUt2C
0,left,1,0.8081,ST,easy,7,HF94YUUt2C
0,left,1,0.8349,ST,easy,8,HF94YUUt2C
1,right,1,0.91,ST,easy,9,HF94YUUt2C
0,left,1,0.7681,ST,easy,10,HF94YUUt2C
1,right,1,0.7432,ST,easy,11,HF94YUUt2C
1,right,1,0.7006,ST,easy,12,HF94YUUt2C
0,left,1,0.6939,ST,easy,13,HF94YUUt2C
0,left,1,1.0172,ST,easy,14,HF94YUUt2C
0,left,1,0.6179,ST,easy,15,HF94YUUt2C
1,right,1,0.7009,ST,easy,16,HF94YUUt2C
1,right,1,0.7858,ST,hard,1,HF94YUUt2C
0,left,1,0.7504,ST,hard,2,HF94YUUt2C
1,left,0,0.7672,ST,hard,3,HF94YUUt2C
1,left,0,0.9177,ST,hard,4,HF94YUUt2C
0,left,1,0.6134,ST,hard,5,HF94YUUt2C
0,left,1,0.8015,ST,hard,6,HF94YUUt2C
0,left,1,0.6883,ST,hard,7,HF94YUUt2C
1,left,0,1.0333,ST,hard,8,HF94YUUt2C
0,left,1,0.7539,ST,hard,9,HF94YUUt2C
1,right,1,0.7192,ST,hard,10,HF94YUUt2C
1,left,0,0.6393,ST,hard,11,HF94YUUt2C
1,left,0,0.7658,ST,hard,12,HF94YUUt2C
0,left,1,0.5727,ST,hard,13,HF94YUUt2C
0,left,1,0.5829,ST,hard,14,HF94YUUt2C
1,right,1,0.607,ST,hard,15,HF94YUUt2C
0,left,1,0.792,ST,hard,16,HF94YUUt2C
1,right,1,1.2251,ST,medium,1,HF94YUUt2C
0,left,1,2.1159,ST,medium,2,HF94YUUt2C
1,right,1,0.7719,ST,medium,3,HF94YUUt2C
0,left,1,0.8676,ST,medium,4,HF94YUUt2C
0,left,1,1.2051,ST,medium,5,HF94YUUt2C
0,left,1,1.0374,ST,medium,6,HF94YUUt2C
0,left,1,1.227,ST,medium,7,HF94YUUt2C
1,left,0,0.8505,ST,medium,8,HF94YUUt2C
0,left,1,1.0778,ST,medium,9,HF94YUUt2C
0,left,1,0.8995,ST,medium,10,HF94YUUt2C
0,left,1,0.6509,ST,medium,11,HF94YUUt2C
1,right,1,0.917,ST,medium,12,HF94YUUt2C
1,left,0,1.0411,ST,medium,13,HF94YUUt2C
1,right,1,0.9383,ST,medium,14,HF94YUUt2C
1,right,1,0.7669,ST,medium,15,HF94YUUt2C
0,left,1,0.7006,ST,medium,16,HF94YUUt2C
1,right,1,1.1842,ST,easy,1,z93bJWn4hw
0,left,1,0.9419,ST,easy,2,z93bJWn4hw
0,left,1,0.9661,ST,easy,3,z93bJWn4hw
0,left,1,0.8665,ST,easy,4,z93bJWn4hw
0,left,1,0.8326,ST,easy,5,z93bJWn4hw
0,left,1,0.7317,ST,easy,6,z93bJWn4hw
1,right,1,1.3164,ST,easy,7,z93bJWn4hw
0,left,1,0.6495,ST,easy,8,z93bJWn4hw
0,left,1,0.7049,ST,easy,9,z93bJWn4hw
0,left,1,1.2152,ST,easy,10,z93bJWn4hw
1,right,1,0.6165,ST,easy,11,z93bJWn4hw
1,right,1,1.0733,ST,easy,12,z93bJWn4hw
0,left,1,0.7592,ST,easy,13,z93bJWn4hw
1,right,1,0.6656,ST,easy,14,z93bJWn4hw
1,right,1,0.971,ST,easy,15,z93bJWn4hw
1,right,1,0.8147,ST,easy,16,z93bJWn4hw
0,left,1,2.5451,ST,hard,1,z93bJWn4hw
0,left,1,1.0408,ST,hard,2,z93bJWn4hw
0,left,1,2.5001,ST,hard,3,z93bJWn4hw
0,right,0,1.2228,ST,hard,4,z93bJWn4hw
0,left,1,1.318,ST,hard,5,z93bJWn4hw
0,left,1,3.0718,ST,hard,6,z93bJWn4hw
1,right,1,2.573,ST,hard,7,z93bJWn4hw
0,left,1,1.8298,ST,hard,8,z93bJWn4hw
0,right,0,1.6396,ST,hard,9,z93bJWn4hw
0,left,1,1.1831,ST,hard,10,z93bJWn4hw
1,right,1,1.1668,ST,hard,11,z93bJWn4hw
0,right,0,1.2302,ST,hard,12,z93bJWn4hw
1,right,1,1.584,ST,hard,13,z93bJWn4hw
0,left,1,1.3403,ST,hard,14,z93bJWn4hw
1,left,0,1.1392,ST,hard,15,z93bJWn4hw
1,right,1,2.1019,ST,hard,16,z93bJWn4hw
1,right,1,1.6062,ST,medium,1,z93bJWn4hw
1,left,0,1.3011,ST,medium,2,z93bJWn4hw
1,right,1,1.3043,ST,medium,3,z93bJWn4hw
