id,task,level,EF_w,FR_w,ME_w,PE_w,TI_w,PH_w,OW_w
gI6hCgCchT,ST,medium,13,17.333333333333332,21.333333333333332,1.3333333333333333,12.666666666666666,0,65.66666666666667
gI6hCgCchT,ST,easy,4,2.933333333333333,6,0.3333333333333333,2.533333333333333,0,15.8
gI6hCgCchT,ST,hard,19.8,26.666666666666668,32.666666666666664,2.6666666666666665,12.933333333333334,0,94.73333333333333
kGWL9y5AS9,MR,medium,3,6.666666666666666,25.333333333333332,5,0,0.8,40.8
kGWL9y5AS9,MR,hard,20,17,26.666666666666668,5,0,1.2,69.86666666666667
kGWL9y5AS9,MR,easy,19.8,17,26.4,5.333333333333333,0,6.533333333333333,75.06666666666666
kGWL9y5AS9,MS,easy,1,0,0,0,0,0.26666666666666666,1.2666666666666666
kGWL9y5AS9,MS,hard,19.8,0,23.333333333333332,0.8,3.3333333333333335,10.666666666666666,57.93333333333334
kGWL9y5AS9,MS,medium,19,0,31.666666666666664,0.8,3.3333333333333335,12.666666666666666,67.46666666666667
kGWL9y5AS9,ST,hard,31.666666666666664,0,19,1.8,11.466666666666667,0,63.93333333333333
kGWL9y5AS9,ST,medium,6.666666666666666,0,18,0.6000000000000001,6.666666666666667,2,33.93333333333334
kGWL9y5AS9,ST,easy,30,0,14,0.4,6.666666666666667,6.533333333333333,57.599999999999994
ntoLpzjCrW,MR,medium,0.6666666666666666,3.333333333333333,5,1,2.4,0,12.399999999999999
ntoLpzjCrW,MR,hard,6.8,21.666666666666664,7,2.4,16,0,53.86666666666666
ntoLpzjCrW,MR,easy,4.666666666666667,26.666666666666664,7,2.6,19.733333333333334,0,60.666666666666664
ntoLpzjCrW,MS,medium,3.933333333333333,6.666666666666667,13.333333333333334,13.333333333333334,13.333333333333334,0,50.599999999999994
ntoLpzjCrW,MS,hard,4.333333333333333,9.333333333333334,18.666666666666668,10.666666666666666,20,0,63.00000000000001
ntoLpzjCrW,MS,easy,2.4,8.666666666666666,4,4,16,0,35.06666666666666
