id,task,level,pool,scale,score_w,score
6xDo1DDaCf,MS,hard,pool1,OW,52.93333333333333,354
6xDo1DDaCf,MS,easy,pool1,EF,3.3333333333333335,25
6xDo1DDaCf,MS,easy,pool1,FR,1.6666666666666667,25
6xDo1DDaCf,MS,easy,pool1,ME,9.333333333333334,35
6xDo1DDaCf,MS,easy,pool1,PE,0,0
6xDo1DDaCf,MS,easy,pool1,TI,2,10
6xDo1DDaCf,MS,easy,pool1,PH,0,10
6xDo1DDaCf,MS,easy,pool1,OW,16.333333333333336,105
6xDo1DDaCf,MS,medium,pool1,EF,10.666666666666666,80
6xDo1DDaCf,MS,medium,pool1,FR,4.666666666666667,70
6xDo1DDaCf,MS,medium,pool1,ME,19.733333333333334,74
6xDo1DDaCf,MS,medium,pool1,PE,0,0
6xDo1DDaCf,MS,medium,pool1,TI,10,50
6xDo1DDaCf,MS,medium,pool1,PH,0,55
6xDo1DDaCf,MS,medium,pool1,OW,45.06666666666666,329
6xDo1DDaCf,ST,medium,pool1,EF,20,75
6xDo1DDaCf,ST,medium,pool1,FR,10,75
6xDo1DDaCf,ST,medium,pool1,ME,13,65
6xDo1DDaCf,ST,medium,pool1,PE,0,0
6xDo1DDaCf,ST,medium,pool1,TI,2,30
6xDo1DDaCf,ST,medium,pool1,PH,0,10
6xDo1DDaCf,ST,medium,pool1,OW,45,255
6xDo1DDaCf,ST,easy,pool1,EF,14.666666666666666,55
6xDo1DDaCf,ST,easy,pool1,FR,6.666666666666667,50
6xDo1DDaCf,ST,easy,pool1,ME,11,55
6xDo1DDaCf,ST,easy,pool1,PE,0,0
6xDo1DDaCf,ST,easy,pool1,TI,1.3333333333333333,20
6xDo1DDaCf,ST,easy,pool1,PH,0,15
6xDo1DDaCf,ST,easy,pool1,OW,33.666666666666664,195
6xDo1DDaCf,ST,hard,pool1,EF,24,90
6xDo1DDaCf,ST,hard,pool1,FR,11.2,84
6xDo1DDaCf,ST,hard,pool1,ME,18.8,94
6xDo1DDaCf,ST,hard,pool1,PE,0,0
6xDo1DDaCf,ST,hard,pool1,TI,2,30
6xDo1DDaCf,ST,hard,pool1,PH,0,5
6xDo1DDaCf,ST,hard,pool1,OW,56,303
9ZffIZqFHz,MR,easy,pool1,EF,15,75
9ZffIZqFHz,MR,easy,pool1,FR,9.333333333333334,70
9ZffIZqFHz,MR,easy,pool1,ME,25,75
9ZffIZqFHz,MR,easy,pool1,PE,7.800000000000001,39
9ZffIZqFHz,MR,easy,pool1,TI,3.3333333333333335,25
9ZffIZqFHz,MR,easy,pool1,PH,0,10
9ZffIZqFHz,MR,easy,pool1,OW,60.46666666666667,294
9ZffIZqFHz,MR,medium,pool1,EF,12.200000000000001,61
9ZffIZqFHz,MR,medium,pool1,FR,5.2,39
9ZffIZqFHz,MR,medium,pool1,ME,14.666666666666666,44
9ZffIZqFHz,MR,medium,pool1,PE,5,25
9ZffIZqFHz,MR,medium,pool1,TI,6,45
9ZffIZqFHz,MR,medium,pool1,PH,0,5
9ZffIZqFHz,MR,medium,pool1,OW,43.06666666666667,219
9ZffIZqFHz,MR,hard,pool1,EF,11,55
9ZffIZqFHz,MR,hard,pool1,FR,2.6666666666666665,20
9ZffIZqFHz,MR,hard,pool1,ME,16.666666666666664,50
9ZffIZqFHz,MR,hard,pool1,PE,6,30
9ZffIZqFHz,MR,hard,pool1,TI,2,15
9ZffIZqFHz,MR,hard,pool1,PH,0,5
9ZffIZqFHz,MR,hard,pool1,OW,38.33333333333333,175
9ZffIZqFHz,MS,medium,pool1,EF,8.533333333333333,64
9ZffIZqFHz,MS,medium,pool1,FR,1,5
9ZffIZqFHz,MS,medium,pool1,ME,26.666666666666664,80
9ZffIZqFHz,MS,medium,pool1,PE,0.06666666666666667,1
9ZffIZqFHz,MS,medium,pool1,TI,17.6,66
9ZffIZqFHz,MS,medium,pool1,PH,0,25
9ZffIZqFHz,MS,medium,pool1,OW,53.86666666666667,241
9ZffIZqFHz,MS,hard,pool1,EF,13.333333333333334,100
9ZffIZqFHz,MS,hard,pool1,FR,18,90
9ZffIZqFHz,MS,hard,pool1,ME,33,99
9ZffIZqFHz,MS,hard,pool1,PE,4.333333333333333,65
9ZffIZqFHz,MS,hard,pool1,TI,25.333333333333332,95
9ZffIZqFHz,MS,hard,pool1,PH,0,45
9ZffIZqFHz,MS,hard,pool1,OW,94,494
9ZffIZqFHz,MS,easy,pool1,EF,2.8,21
9ZffIZqFHz,MS,easy,pool1,FR,0.2,1
9ZffIZqFHz,MS,easy,pool1,ME,5,15
9ZffIZqFHz,MS,easy,pool1,PE,0.06666666666666667,1
9ZffIZqFHz,MS,easy,pool1,TI,2.933333333333333,11
9ZffIZqFHz,MS,easy,pool1,PH,0,0
9ZffIZqFHz,MS,easy,pool1,OW,11,49
9ZffIZqFHz,ST,easy,pool1,EF,4,60
9ZffIZqFHz,ST,easy,pool1,FR,1.6,6
9ZffIZqFHz,ST,easy,pool1,ME,9.466666666666667,71
9ZffIZqFHz,ST,easy,pool1,PE,3,15
9ZffIZqFHz,ST,easy,pool1,TI,28.333333333333332,85
9ZffIZqFHz,ST,easy,pool1,PH,0,10
9ZffIZqFHz,ST,easy,pool1,OW,46.4,247
9ZffIZqFHz,ST,medium,pool1,EF,5,75
9ZffIZqFHz,ST,medium,pool1,FR,18.666666666666668,70
9ZffIZqFHz,ST,medium,pool1,ME,11.866666666666667,89
9ZffIZqFHz,ST,medium,pool1,PE,9.200000000000001,46
9ZffIZqFHz,ST,medium,pool1,TI,33,99
9ZffIZqFHz,ST,medium,pool1,PH,0,10
9ZffIZqFHz,ST,medium,pool1,OW,77.73333333333333,389
9ZffIZqFHz,ST,hard,pool1,EF,4.8,72
9ZffIZqFHz,ST,hard,pool1,FR,25.066666666666666,94
9ZffIZqFHz,ST,hard,pool1,ME,9.2,69
9ZffIZqFHz,ST,hard,pool1,PE,13,65
9ZffIZqFHz,ST,hard,pool1,TI,33,99
9ZffIZqFHz,ST,hard,pool1,PH,0,10
9ZffIZqFHz,ST,hard,pool1,OW,85.06666666666666,409
wiRZfBYOru,MR,hard,pool2,EF,18.133333333333333,68
wiRZfBYOru,MR,hard,pool2,FR,15.4,77
wiRZfBYOru,MR,hard,pool2,ME,9.2,69
wiRZfBYOru,MR,hard,pool2,PE,8.133333333333333,61
wiRZfBYOru,MR,hard,pool2,TI,0,70
wiRZfBYOru,MR,hard,pool2,PH,18.666666666666668,70
wiRZfBYOru,MR,hard,pool2,OW,69.53333333333333,415
wiRZfBYOru,MR,medium,pool2,EF,18.4,69
wiRZfBYOru,MR,medium,pool2,FR,13.8,69
wiRZfBYOru,MR,medium,pool2,ME,9.066666666666666,68
wiRZfBYOru,MR,medium,pool2,PE,4.133333333333333,31
wiRZfBYOru,MR,medium,pool2,TI,0,69
wiRZfBYOru,MR,medium,pool2,PH,18.933333333333334,71
wiRZfBYOru,MR,medium,pool2,OW,64.33333333333333,377
wiRZfBYOru,MR,easy,pool2,EF,17.066666666666666,64
wiRZfBYOru,MR,easy,pool2,FR,11.4,57
wiRZfBYOru,MR,easy,pool2,ME,10.666666666666666,80
wiRZfBYOru,MR,easy,pool2,PE,2.2666666666666666,17
wiRZfBYOru,MR,easy,pool2,TI,0,53
wiRZfBYOru,MR,easy,pool2,PH,18.133333333333333,68
wiRZfBYOru,MR,easy,pool2,OW,59.533333333333324,339
wiRZfBYOru,MS,easy,pool2,EF,1.3333333333333333,5
wiRZfBYOru,MS,easy,pool2,FR,0.9333333333333333,7
wiRZfBYOru,MS,easy,pool2,ME,2,10
wiRZfBYOru,MS,easy,pool2,PE,0.13333333333333333,1
wiRZfBYOru,MS,easy,pool2,TI,0.7333333333333333,11
wiRZfBYOru,MS,easy,pool2,PH,1.8,9
wiRZfBYOru,MS,easy,pool2,OW,6.933333333333334,43
wiRZfBYOru,MS,hard,pool2,EF,26.133333333333333,98
wiRZfBYOru,MS,hard,pool2,FR,12.533333333333333,94
wiRZfBYOru,MS,hard,pool2,ME,19,95
wiRZfBYOru,MS,hard,pool2,PE,2.2666666666666666,17
wiRZfBYOru,MS,hard,pool2,TI,6.066666666666666,91
wiRZfBYOru,MS,hard,pool2,PH,15.8,79
wiRZfBYOru,MS,hard,pool2,OW,81.79999999999998,474
wiRZfBYOru,MS,medium,pool2,EF,22.933333333333334,86
wiRZfBYOru,MS,medium,pool2,FR,11.066666666666666,83
wiRZfBYOru,MS,medium,pool2,ME,17.2,86
wiRZfBYOru,MS,medium,pool2,PE,0.9333333333333333,7
wiRZfBYOru,MS,medium,pool2,TI,5.666666666666667,85
wiRZfBYOru,MS,medium,pool2,PH,17,85
wiRZfBYOru,MS,medium,pool2,OW,74.8,432
wiRZfBYOru,ST,medium,pool2,EF,19.466666666666665,73
wiRZfBYOru,ST,medium,pool2,FR,13.8,69
wiRZfBYOru,ST,medium,pool2,ME,15,75
wiRZfBYOru,ST,medium,pool2,PE,1.4,21
wiRZfBYOru,ST,medium,pool2,TI,0,80
wiRZfBYOru,ST,medium,pool2,PH,18.666666666666668,70
wiRZfBYOru,ST,medium,pool2,OW,68.33333333333333,388
wiRZfBYOru,ST,easy,pool2,EF,13.066666666666666,49
wiRZfBYOru,ST,easy,pool2,FR,10.200000000000001,51
wiRZfBYOru,ST,easy,pool2,ME,10,50
wiRZfBYOru,ST,easy,pool2,PE,0.4,6
wiRZfBYOru,ST,easy,pool2,TI,0,50
wiRZfBYOru,ST,easy,pool2,PH,13.333333333333334,50
wiRZfBYOru,ST,easy,pool2,OW,47,256
wiRZfBYOru,ST,hard,pool2,EF,23.2,87
wiRZfBYOru,ST,hard,pool2,FR,17.8,89
wiRZfBYOru,ST,hard,pool2,ME,15.8,79
wiRZfBYOru,ST,hard,pool2,PE,0.8,12
wiRZfBYOru,ST,hard,pool2,TI,0,62
wiRZfBYOru,ST,hard,pool2,PH,15.466666666666667,58
wiRZfBYOru,ST,hard,pool2,OW,73.06666666666666,387
