target_present,key,is_correct,rt,task,level,trial,id,pool
1,right,1,0.466,ST,hard,13,WAh9qhgg6o,pool1
0,left,1,0.72,ST,hard,14,WAh9qhgg6o,pool1
1,left,0,1.16,ST,hard,15,WAh9qhgg6o,pool1
0,left,1,1.787,ST,hard,16,WAh9qhgg6o,pool1
0,left,1,4.692,ST,medium,1,WAh9qhgg6o,pool1
0,left,1,1.08,ST,medium,2,WAh9qhgg6o,pool1
0,left,1,0.881,ST,medium,3,WAh9qhgg6o,pool1
0,left,1,1.094,ST,medium,4,WAh9qhgg6o,pool1
1,right,1,1.001,ST,medium,5,WAh9qhgg6o,pool1
1,right,1,0.773,ST,medium,6,WAh9qhgg6o,pool1
0,left,1,0.865,ST,medium,7,WAh9qhgg6o,pool1
0,left,1,0.867,ST,medium,8,WAh9qhgg6o,pool1
1,right,1,0.881,ST,medium,9,WAh9qhgg6o,pool1
0,right,0,1.294,ST,medium,10,WAh9qhgg6o,pool1
1,right,1,0.788,ST,medium,11,WAh9qhgg6o,pool1
1,right,1,0.605,ST,medium,12,WAh9qhgg6o,pool1
0,left,1,0.867,ST,medium,13,WAh9qhgg6o,pool1
0,right,0,0.707,ST,medium,14,WAh9qhgg6o,pool1
1,left,0,0.92,ST,medium,15,WAh9qhgg6o,pool1
1,left,0,0.96,ST,medium,16,WAh9qhgg6o,pool1
1,right,1,1.752,ST,easy,1,6xDo1DDaCf,pool1
0,left,1,1.49,ST,easy,2,6xDo1DDaCf,pool1
0,left,1,1.665,ST,easy,3,6xDo1DDaCf,pool1
1,right,1,1.416,ST,easy,4,6xDo1DDaCf,pool1
1,right,1,3.042,ST,easy,5,6xDo1DDaCf,pool1
1,right,1,1.618,ST,easy,6,6xDo1DDaCf,pool1
1,right,1,1.234,ST,easy,7,6xDo1DDaCf,pool1
0,left,1,1.524,ST,easy,8,6xDo1DDaCf,pool1
1,right,1,1.166,ST,easy,9,6xDo1DDaCf,pool1
1,right,1,1.592,ST,easy,10,6xDo1DDaCf,pool1
0,left,1,1.33,ST,easy,11,6xDo1DDaCf,pool1
0,left,1,1.596,ST,easy,12,6xDo1DDaCf,pool1
1,right,1,1.217,ST,easy,13,6xDo1DDaCf,pool1
1,right,1,1.771,ST,easy,14,6xDo1DDaCf,pool1
1,right,1,1.804,ST,easy,15,6xDo1DDaCf,pool1
1,right,1,1.329,ST,easy,16,6xDo1DDaCf,pool1
0,left,1,3.075,ST,hard,1,6xDo1DDaCf,pool1
0,left,1,2.419,ST,hard,2,6xDo1DDaCf,pool1
0,left,1,2.074,ST,hard,3,6xDo1DDaCf,pool1
1,right,1,2.86,ST,hard,4,6xDo1DDaCf,pool1
1,right,1,2.214,ST,hard,5,6xDo1DDaCf,pool1
0,left,1,1.781,ST,hard,6,6xDo1DDaCf,pool1
1,right,1,2.433,ST,hard,7,6xDo1DDaCf,pool1
1,right,1,1.696,ST,hard,8,6xDo1DDaCf,pool1
1,right,1,2.097,ST,hard,9,6xDo1DDaCf,pool1
0,left,1,2.966,ST,hard,10,6xDo1DDaCf,pool1
0,left,1,2.037,ST,hard,11,6xDo1DDaCf,pool1
0,left,1,2.176,ST,hard,12,6xDo1DDaCf,pool1
0,left,1,2.036,ST,hard,13,6xDo1DDaCf,pool1
0,left,1,2.039,ST,hard,14,6xDo1DDaCf,pool1
1,right,1,1.955,ST,hard,15,6xDo1DDaCf,pool1
1,right,1,1.776,ST,hard,16,6xDo1DDaCf,pool1
1,right,1,3.45,ST,medium,1,6xDo1DDaCf,pool1
1,right,1,2.362,ST,medium,2,6xDo1DDaCf,pool1
1,right,1,2.128,ST,medium,3,6xDo1DDaCf,pool1
1,right,1,1.446,ST,medium,4,6xDo1DDaCf,pool1
1,right,1,1.458,ST,medium,5,6xDo1DDaCf,pool1
1,right,1,1.527,ST,medium,6,6xDo1DDaCf,pool1
1,right,1,1.975,ST,medium,7,6xDo1DDaCf,pool1
0,left,1,2.272,ST,medium,8,6xDo1DDaCf,pool1
0,left,1,2.847,ST,medium,9,6xDo1DDaCf,pool1
1,right,1,1.461,ST,medium,10,6xDo1DDaCf,pool1
1,right,1,1.607,ST,medium,11,6xDo1DDaCf,pool1
1,right,1,1.248,ST,medium,12,6xDo1DDaCf,pool1
0,left,1,2.751,ST,medium,13,6xDo1DDaCf,pool1
1,right,1,1.349,ST,medium,14,6xDo1DDaCf,pool1
0,left,1,1.745,ST,medium,15,6xDo1DDaCf,pool1
1,right,1,1.517,ST,medium,16,6xDo1DDaCf,pool1
1,right,1,1.2621,ST,easy,1,9ZffIZqFHz,pool1
0,left,1,1.2722,ST,easy,2,9ZffIZqFHz,pool1
0,left,1,0.8522,ST,easy,3,9ZffIZqFHz,pool1
0,left,1,0.7332,ST,easy,4,9ZffIZqFHz,pool1
0,left,1,0.9606,ST,easy,5,9ZffIZqFHz,pool1
1,right,1,0.8187,ST,easy,6,9ZffIZqFHz,pool1
1,right,1,0.9934,ST,easy,7,9ZffIZqFHz,pool1
1,right,1,1.5598,ST,easy,8,9ZffIZqFHz,pool1
1,right,1,1.0235,ST,easy,9,9ZffIZqFHz,pool1
1,right,1,0.9641,ST,easy,10,9ZffIZqFHz,pool1
1,right,1,0.8454,ST,easy,11,9ZffIZqFHz,pool1
1,right,1,0.8708,ST,easy,12,9ZffIZqFHz,pool1
1,right,1,0.843,ST,easy,13,9ZffIZqFHz,pool1
0,left,1,0.8612,ST,easy,14,9ZffIZqFHz,pool1
1,right,1,1.1015,ST,easy,15,9ZffIZqFHz,pool1
1,right,1,0.9911,ST,easy,16,9ZffIZqFHz,pool1
1,left,0,1.3005,ST,hard,1,9ZffIZqFHz,pool1
1,right,1,0.86240000000000006,ST,hard,2,9ZffIZqFHz,pool1
1,right,1,0.8784,ST,hard,3,9ZffIZqFHz,pool1
1,right,1,0.8385,ST,hard,4,9ZffIZqFHz,pool1
1,right,1,0.743,ST,hard,5,9ZffIZqFHz,pool1
1,right,1,0.995,ST,hard,6,9ZffIZqFHz,pool1
1,left,0,1.3019,ST,hard,7,9ZffIZqFHz,pool1
1,left,0,1.002,ST,hard,8,9ZffIZqFHz,pool1
1,right,1,1.0228,ST,hard,9,9ZffIZqFHz,pool1
0,left,1,0.8712,ST,hard,10,9ZffIZqFHz,pool1
0,left,1,0.8615,ST,hard,11,9ZffIZqFHz,pool1
1,right,1,1.1378,ST,hard,12,9ZffIZqFHz,pool1
0,left,1,1.1636,ST,hard,13,9ZffIZqFHz,pool1
0,left,1,1.0076,ST,hard,14,9ZffIZqFHz,pool1
0,left,1,0.8505,ST,hard,15,9ZffIZqFHz,pool1
1,right,1,2.424,ST,hard,16,9ZffIZqFHz,pool1
0,left,1,1.2638,ST,medium,1,9ZffIZqFHz,pool1
0,left,1,1.1359,ST,medium,2,9ZffIZqFHz,pool1
1,right,1,1.1353,ST,medium,3,9ZffIZqFHz,pool1
1,right,1,1.2141,ST,medium,4,9ZffIZqFHz,pool1
0,left,1,1.2851,ST,medium,5,9ZffIZqFHz,pool1
0,left,1,1.9486,ST,medium,6,9ZffIZqFHz,pool1
0,right,0,0.8432,ST,medium,7,9ZffIZqFHz,pool1
1,right,1,0.9953,ST,medium,8,9ZffIZqFHz,pool1
1,right,1,1.4141,ST,medium,9,9ZffIZqFHz,pool1
