task_type,choice,n,w,id,pool
mental_span,ME,5,0.3333333333333333,DVCsNitb7p,pool2
mental_span,PE,1,0.06666666666666667,DVCsNitb7p,pool2
mental_span,TI,4,0.26666666666666666,DVCsNitb7p,pool2
sternberg,EF,4,0.26666666666666666,DVCsNitb7p,pool2
sternberg,FR,2,0.13333333333333333,DVCsNitb7p,pool2
sternberg,ME,4,0.26666666666666666,DVCsNitb7p,pool2
sternberg,PE,1,0.06666666666666667,DVCsNitb7p,pool2
sternberg,TI,4,0.26666666666666666,DVCsNitb7p,pool2
mental_rotation,EF,3,0.2,sPXXgeOo7t,pool2
mental_rotation,FR,4,0.26666666666666666,sPXXgeOo7t,pool2
mental_rotation,ME,5,0.3333333333333333,sPXXgeOo7t,pool2
mental_rotation,PE,2,0.13333333333333333,sPXXgeOo7t,pool2
mental_rotation,TI,1,0.06666666666666667,sPXXgeOo7t,pool2
mental_span,EF,3,0.2,sPXXgeOo7t,pool2
mental_span,FR,3,0.2,sPXXgeOo7t,pool2
mental_span,ME,5,0.3333333333333333,sPXXgeOo7t,pool2
mental_span,PH,1,0.06666666666666667,sPXXgeOo7t,pool2
mental_span,TI,3,0.2,sPXXgeOo7t,pool2
sternberg,EF,2,0.13333333333333333,sPXXgeOo7t,pool2
sternberg,FR,2,0.13333333333333333,sPXXgeOo7t,pool2
sternberg,ME,3,0.2,sPXXgeOo7t,pool2
sternberg,PE,3,0.2,sPXXgeOo7t,pool2
sternberg,PH,4,0.26666666666666666,sPXXgeOo7t,pool2
sternberg,TI,1,0.06666666666666667,sPXXgeOo7t,pool2
mental_rotation,EF,3,0.2,ujNKR4re1M,pool2
mental_rotation,FR,2,0.13333333333333333,ujNKR4re1M,pool2
mental_rotation,ME,4,0.26666666666666666,ujNKR4re1M,pool2
mental_rotation,PE,5,0.3333333333333333,ujNKR4re1M,pool2
mental_rotation,TI,1,0.06666666666666667,ujNKR4re1M,pool2
mental_span,EF,3,0.2,ujNKR4re1M,pool2
mental_span,FR,5,0.3333333333333333,ujNKR4re1M,pool2
mental_span,PE,3,0.2,ujNKR4re1M,pool2
mental_span,PH,2,0.13333333333333333,ujNKR4re1M,pool2
mental_span,TI,2,0.13333333333333333,ujNKR4re1M,pool2
sternberg,EF,3,0.2,ujNKR4re1M,pool2
sternberg,FR,1,0.06666666666666667,ujNKR4re1M,pool2
sternberg,ME,3,0.2,ujNKR4re1M,pool2
sternberg,PE,3,0.2,ujNKR4re1M,pool2
sternberg,TI,5,0.3333333333333333,ujNKR4re1M,pool2
mental_rotation,EF,2,0.13333333333333333,8EBFmIUfAy,pool2
mental_rotation,FR,5,0.3333333333333333,8EBFmIUfAy,pool2
mental_rotation,ME,3,0.2,8EBFmIUfAy,pool2
mental_rotation,PE,4,0.26666666666666666,8EBFmIUfAy,pool2
mental_rotation,TI,1,0.06666666666666667,8EBFmIUfAy,pool2
mental_span,EF,4,0.26666666666666666,8EBFmIUfAy,pool2
mental_span,FR,4,0.26666666666666666,8EBFmIUfAy,pool2
mental_span,ME,1,0.06666666666666667,8EBFmIUfAy,pool2
mental_span,PE,1,0.06666666666666667,8EBFmIUfAy,pool2
mental_span,PH,3,0.2,8EBFmIUfAy,pool2
mental_span,TI,2,0.13333333333333333,8EBFmIUfAy,pool2
sternberg,EF,5,0.3333333333333333,8EBFmIUfAy,pool2
sternberg,FR,2,0.13333333333333333,8EBFmIUfAy,pool2
sternberg,ME,1,0.06666666666666667,8EBFmIUfAy,pool2
sternberg,PE,3,0.2,8EBFmIUfAy,pool2
sternberg,TI,4,0.26666666666666666,8EBFmIUfAy,pool2
mental_rotation,EF,2,0.13333333333333333,aqEAPJJI8e,pool34
mental_rotation,FR,3,0.2,aqEAPJJI8e,pool34
mental_rotation,ME,4,0.26666666666666666,aqEAPJJI8e,pool34
mental_rotation,PE,2,0.13333333333333333,aqEAPJJI8e,pool34
mental_rotation,PH,2,0.13333333333333333,aqEAPJJI8e,pool34
