trials,task,level,n,rt,acc,id
15,MS,easy,3,NA,1,Go0eoSC1Hu
15,MS,medium,5,NA,1,Go0eoSC1Hu
15,MS,hard,5,NA,0.7142857142857143,Go0eoSC1Hu
16,MS,easy,3,NA,1,Go0eoSC1Hu
16,MS,medium,5,NA,1,Go0eoSC1Hu
16,MS,hard,5,NA,0.7142857142857143,Go0eoSC1Hu
1,MS,easy,3,NA,1,uofo7FKPdo
1,MS,medium,5,NA,1,uofo7FKPdo
1,MS,hard,2,NA,0.2857142857142857,uofo7FKPdo
2,MS,easy,3,NA,1,uofo7FKPdo
2,MS,medium,4,NA,0.8,uofo7FKPdo
2,MS,hard,3,NA,0.42857142857142855,uofo7FKPdo
3,MS,easy,3,NA,1,uofo7FKPdo
3,MS,medium,3,NA,0.6,uofo7FKPdo
3,MS,hard,3,NA,0.42857142857142855,uofo7FKPdo
4,MS,easy,3,NA,1,uofo7FKPdo
4,MS,medium,4,NA,0.8,uofo7FKPdo
4,MS,hard,4,NA,0.5714285714285714,uofo7FKPdo
5,MS,easy,3,NA,1,uofo7FKPdo
5,MS,medium,3,NA,0.6,uofo7FKPdo
5,MS,hard,4,NA,0.5714285714285714,uofo7FKPdo
6,MS,easy,3,NA,1,uofo7FKPdo
6,MS,medium,5,NA,1,uofo7FKPdo
6,MS,hard,3,NA,0.42857142857142855,uofo7FKPdo
7,MS,easy,3,NA,1,uofo7FKPdo
7,MS,medium,3,NA,0.6,uofo7FKPdo
7,MS,hard,3,NA,0.42857142857142855,uofo7FKPdo
8,MS,easy,3,NA,1,uofo7FKPdo
8,MS,medium,5,NA,1,uofo7FKPdo
8,MS,hard,4,NA,0.5714285714285714,uofo7FKPdo
9,MS,easy,3,NA,1,uofo7FKPdo
9,MS,medium,5,NA,1,uofo7FKPdo
9,MS,hard,3,NA,0.42857142857142855,uofo7FKPdo
10,MS,easy,3,NA,1,uofo7FKPdo
10,MS,medium,4,NA,0.8,uofo7FKPdo
10,MS,hard,2,NA,0.2857142857142857,uofo7FKPdo
11,MS,easy,3,NA,1,uofo7FKPdo
11,MS,medium,4,NA,0.8,uofo7FKPdo
11,MS,hard,4,NA,0.5714285714285714,uofo7FKPdo
12,MS,easy,2,NA,0.6666666666666666,uofo7FKPdo
12,MS,medium,3,NA,0.6,uofo7FKPdo
12,MS,hard,4,NA,0.5714285714285714,uofo7FKPdo
13,MS,easy,2,NA,0.6666666666666666,uofo7FKPdo
13,MS,medium,5,NA,1,uofo7FKPdo
13,MS,hard,4,NA,0.5714285714285714,uofo7FKPdo
14,MS,easy,3,NA,1,uofo7FKPdo
14,MS,medium,2,NA,0.4,uofo7FKPdo
14,MS,hard,4,NA,0.5714285714285714,uofo7FKPdo
15,MS,easy,3,NA,1,uofo7FKPdo
15,MS,medium,4,NA,0.8,uofo7FKPdo
15,MS,hard,4,NA,0.5714285714285714,uofo7FKPdo
