task,level,id,pool,scale,score
MS,easy,6xDo1DDaCf,pool1,ME,35
MS,easy,6xDo1DDaCf,pool1,PH,10
MS,easy,6xDo1DDaCf,pool1,TI,10
MS,easy,6xDo1DDaCf,pool1,PE,0
MS,easy,6xDo1DDaCf,pool1,EF,25
MS,easy,6xDo1DDaCf,pool1,FR,25
MS,medium,6xDo1DDaCf,pool1,ME,74
MS,medium,6xDo1DDaCf,pool1,PH,55
MS,medium,6xDo1DDaCf,pool1,TI,50
MS,medium,6xDo1DDaCf,pool1,PE,0
MS,medium,6xDo1DDaCf,pool1,EF,80
MS,medium,6xDo1DDaCf,pool1,FR,70
ST,medium,6xDo1DDaCf,pool1,ME,65
ST,medium,6xDo1DDaCf,pool1,PH,10
ST,medium,6xDo1DDaCf,pool1,TI,30
ST,medium,6xDo1DDaCf,pool1,PE,0
ST,medium,6xDo1DDaCf,pool1,EF,75
ST,medium,6xDo1DDaCf,pool1,FR,75
MR,hard,6xDo1DDaCf,pool1,ME,65
MR,hard,6xDo1DDaCf,pool1,PH,25
MR,hard,6xDo1DDaCf,pool1,TI,15
MR,hard,6xDo1DDaCf,pool1,PE,5
MR,hard,6xDo1DDaCf,pool1,EF,75
MR,hard,6xDo1DDaCf,pool1,FR,60
ST,easy,6xDo1DDaCf,pool1,ME,55
ST,easy,6xDo1DDaCf,pool1,PH,15
ST,easy,6xDo1DDaCf,pool1,TI,20
ST,easy,6xDo1DDaCf,pool1,PE,0
ST,easy,6xDo1DDaCf,pool1,EF,55
ST,easy,6xDo1DDaCf,pool1,FR,50
ST,hard,6xDo1DDaCf,pool1,ME,94
ST,hard,6xDo1DDaCf,pool1,PH,5
ST,hard,6xDo1DDaCf,pool1,TI,30
ST,hard,6xDo1DDaCf,pool1,PE,0
ST,hard,6xDo1DDaCf,pool1,EF,90
ST,hard,6xDo1DDaCf,pool1,FR,84
MR,easy,9ZffIZqFHz,pool1,ME,75
MR,easy,9ZffIZqFHz,pool1,PH,10
MR,easy,9ZffIZqFHz,pool1,TI,25
MR,easy,9ZffIZqFHz,pool1,PE,39
MR,easy,9ZffIZqFHz,pool1,EF,75
MR,easy,9ZffIZqFHz,pool1,FR,70
MS,medium,9ZffIZqFHz,pool1,ME,80
MS,medium,9ZffIZqFHz,pool1,PH,25
MS,medium,9ZffIZqFHz,pool1,TI,66
MS,medium,9ZffIZqFHz,pool1,PE,1
MS,medium,9ZffIZqFHz,pool1,EF,64
MS,medium,9ZffIZqFHz,pool1,FR,5
MR,medium,9ZffIZqFHz,pool1,ME,44
MR,medium,9ZffIZqFHz,pool1,PH,5
MR,medium,9ZffIZqFHz,pool1,TI,45
MR,medium,9ZffIZqFHz,pool1,PE,25
MR,medium,9ZffIZqFHz,pool1,EF,61
MR,medium,9ZffIZqFHz,pool1,FR,39
ST,easy,9ZffIZqFHz,pool1,ME,71
ST,easy,9ZffIZqFHz,pool1,PH,10
ST,easy,9ZffIZqFHz,pool1,TI,85
ST,easy,9ZffIZqFHz,pool1,PE,15
ST,easy,9ZffIZqFHz,pool1,EF,60
ST,easy,9ZffIZqFHz,pool1,FR,6
MS,hard,9ZffIZqFHz,pool1,ME,99
MS,hard,9ZffIZqFHz,pool1,PH,45
MS,hard,9ZffIZqFHz,pool1,TI,95
MS,hard,9ZffIZqFHz,pool1,PE,65
MS,hard,9ZffIZqFHz,pool1,EF,100
MS,hard,9ZffIZqFHz,pool1,FR,90
MR,hard,9ZffIZqFHz,pool1,ME,50
MR,hard,9ZffIZqFHz,pool1,PH,5
MR,hard,9ZffIZqFHz,pool1,TI,15
MR,hard,9ZffIZqFHz,pool1,PE,30
MR,hard,9ZffIZqFHz,pool1,EF,55
MR,hard,9ZffIZqFHz,pool1,FR,20
ST,medium,9ZffIZqFHz,pool1,ME,89
ST,medium,9ZffIZqFHz,pool1,PH,10
ST,medium,9ZffIZqFHz,pool1,TI,99
ST,medium,9ZffIZqFHz,pool1,PE,46
ST,medium,9ZffIZqFHz,pool1,EF,75
ST,medium,9ZffIZqFHz,pool1,FR,70
MS,easy,9ZffIZqFHz,pool1,ME,15
MS,easy,9ZffIZqFHz,pool1,PH,0
MS,easy,9ZffIZqFHz,pool1,TI,11
MS,easy,9ZffIZqFHz,pool1,PE,1
MS,easy,9ZffIZqFHz,pool1,EF,21
MS,easy,9ZffIZqFHz,pool1,FR,1
ST,hard,9ZffIZqFHz,pool1,ME,69
ST,hard,9ZffIZqFHz,pool1,PH,10
ST,hard,9ZffIZqFHz,pool1,TI,99
ST,hard,9ZffIZqFHz,pool1,PE,65
ST,hard,9ZffIZqFHz,pool1,EF,72
ST,hard,9ZffIZqFHz,pool1,FR,94
MS,easy,wiRZfBYOru,pool2,ME,10
