task,level,id,scale,score
MS,medium,dWejUN00z6,PH,10
MS,medium,dWejUN00z6,TI,95
MS,medium,dWejUN00z6,PE,25
MS,medium,dWejUN00z6,EF,90
MS,medium,dWejUN00z6,FR,49
MR,easy,dWejUN00z6,ME,60
MR,easy,dWejUN00z6,PH,1
MR,easy,dWejUN00z6,TI,3
MR,easy,dWejUN00z6,PE,39
MR,easy,dWejUN00z6,EF,72
MR,easy,dWejUN00z6,FR,64
ST,medium,dWejUN00z6,ME,77
ST,medium,dWejUN00z6,PH,5
ST,medium,dWejUN00z6,TI,93
ST,medium,dWejUN00z6,PE,43
ST,medium,dWejUN00z6,EF,86
ST,medium,dWejUN00z6,FR,90
ST,hard,dWejUN00z6,ME,97
ST,hard,dWejUN00z6,PH,3
ST,hard,dWejUN00z6,TI,98
ST,hard,dWejUN00z6,PE,51
ST,hard,dWejUN00z6,EF,75
ST,hard,dWejUN00z6,FR,98
MS,easy,dWejUN00z6,ME,49
MS,easy,dWejUN00z6,PH,4
MS,easy,dWejUN00z6,TI,21
MS,easy,dWejUN00z6,PE,8
MS,easy,dWejUN00z6,EF,60
MS,easy,dWejUN00z6,FR,17
MR,hard,qG1rKdXNBQ,ME,75
MR,hard,qG1rKdXNBQ,PH,4
MR,hard,qG1rKdXNBQ,TI,50
MR,hard,qG1rKdXNBQ,PE,46
MR,hard,qG1rKdXNBQ,EF,55
MR,hard,qG1rKdXNBQ,FR,15
MS,hard,qG1rKdXNBQ,ME,60
MS,hard,qG1rKdXNBQ,PH,30
MS,hard,qG1rKdXNBQ,TI,81
MS,hard,qG1rKdXNBQ,PE,60
MS,hard,qG1rKdXNBQ,EF,60
MS,hard,qG1rKdXNBQ,FR,45
ST,medium,qG1rKdXNBQ,ME,60
ST,medium,qG1rKdXNBQ,PH,20
ST,medium,qG1rKdXNBQ,TI,60
ST,medium,qG1rKdXNBQ,PE,85
ST,medium,qG1rKdXNBQ,EF,NA
ST,medium,qG1rKdXNBQ,FR,55
MS,medium,qG1rKdXNBQ,ME,51
MS,medium,qG1rKdXNBQ,PH,NA
MS,medium,qG1rKdXNBQ,TI,58
MS,medium,qG1rKdXNBQ,PE,35
MS,medium,qG1rKdXNBQ,EF,40
MS,medium,qG1rKdXNBQ,FR,21
MR,easy,qG1rKdXNBQ,ME,15
MR,easy,qG1rKdXNBQ,PH,10
MR,easy,qG1rKdXNBQ,TI,10
MR,easy,qG1rKdXNBQ,PE,10
MR,easy,qG1rKdXNBQ,EF,15
MR,easy,qG1rKdXNBQ,FR,15
MS,easy,qG1rKdXNBQ,ME,45
MS,easy,qG1rKdXNBQ,PH,30
MS,easy,qG1rKdXNBQ,TI,30
MS,easy,qG1rKdXNBQ,PE,0
MS,easy,qG1rKdXNBQ,EF,25
MS,easy,qG1rKdXNBQ,FR,15
ST,hard,qG1rKdXNBQ,ME,65
ST,hard,qG1rKdXNBQ,PH,12
ST,hard,qG1rKdXNBQ,TI,90
ST,hard,qG1rKdXNBQ,PE,95
ST,hard,qG1rKdXNBQ,EF,55
ST,hard,qG1rKdXNBQ,FR,55
MR,medium,qG1rKdXNBQ,ME,55
MR,medium,qG1rKdXNBQ,PH,10
MR,medium,qG1rKdXNBQ,TI,15
MR,medium,qG1rKdXNBQ,PE,50
MR,medium,qG1rKdXNBQ,EF,55
MR,medium,qG1rKdXNBQ,FR,35
ST,easy,qG1rKdXNBQ,ME,5
ST,easy,qG1rKdXNBQ,PH,5
ST,easy,qG1rKdXNBQ,TI,10
ST,easy,qG1rKdXNBQ,PE,1
ST,easy,qG1rKdXNBQ,EF,36
ST,easy,qG1rKdXNBQ,FR,35
MS,medium,2dX8HaA5QM,ME,65
MS,medium,2dX8HaA5QM,PH,0
MS,medium,2dX8HaA5QM,TI,50
MS,medium,2dX8HaA5QM,PE,45
MS,medium,2dX8HaA5QM,EF,64
MS,medium,2dX8HaA5QM,FR,57
MR,hard,2dX8HaA5QM,ME,65
MR,hard,2dX8HaA5QM,PH,0
MR,hard,2dX8HaA5QM,TI,27
MR,hard,2dX8HaA5QM,PE,48
MR,hard,2dX8HaA5QM,EF,58
MR,hard,2dX8HaA5QM,FR,67
MR,easy,2dX8HaA5QM,ME,46
MR,easy,2dX8HaA5QM,PH,1
MR,easy,2dX8HaA5QM,TI,33
MR,easy,2dX8HaA5QM,PE,43
MR,easy,2dX8HaA5QM,EF,52
MR,easy,2dX8HaA5QM,FR,57
MR,medium,2dX8HaA5QM,ME,65
MR,medium,2dX8HaA5QM,PH,0
MR,medium,2dX8HaA5QM,TI,50
MR,medium,2dX8HaA5QM,PE,50
MR,medium,2dX8HaA5QM,EF,54
MR,medium,2dX8HaA5QM,FR,72
ST,medium,2dX8HaA5QM,ME,50
ST,medium,2dX8HaA5QM,PH,0
ST,medium,2dX8HaA5QM,TI,59
ST,medium,2dX8HaA5QM,PE,48
ST,medium,2dX8HaA5QM,EF,54
ST,medium,2dX8HaA5QM,FR,50
ST,easy,2dX8HaA5QM,ME,32
ST,easy,2dX8HaA5QM,PH,0
ST,easy,2dX8HaA5QM,TI,48
ST,easy,2dX8HaA5QM,PE,13
ST,easy,2dX8HaA5QM,EF,62
ST,easy,2dX8HaA5QM,FR,51
ST,hard,2dX8HaA5QM,ME,56
ST,hard,2dX8HaA5QM,PH,0
ST,hard,2dX8HaA5QM,TI,68
ST,hard,2dX8HaA5QM,PE,52
ST,hard,2dX8HaA5QM,EF,57
ST,hard,2dX8HaA5QM,FR,51
MS,hard,2dX8HaA5QM,ME,71
MS,hard,2dX8HaA5QM,PH,0
MS,hard,2dX8HaA5QM,TI,76
MS,hard,2dX8HaA5QM,PE,86
MS,hard,2dX8HaA5QM,EF,73
MS,hard,2dX8HaA5QM,FR,60
MS,easy,2dX8HaA5QM,ME,33
MS,easy,2dX8HaA5QM,PH,0
MS,easy,2dX8HaA5QM,TI,24
MS,easy,2dX8HaA5QM,PE,1
MS,easy,2dX8HaA5QM,EF,41
MS,easy,2dX8HaA5QM,FR,27
MR,easy,jipsxYWATF,ME,74
MR,easy,jipsxYWATF,PH,5
