task,level,id,scale,score
MR,hard,6xDo1DDaCf,FR,60
ST,easy,6xDo1DDaCf,ME,55
ST,easy,6xDo1DDaCf,PH,15
ST,easy,6xDo1DDaCf,TI,20
ST,easy,6xDo1DDaCf,PE,0
ST,easy,6xDo1DDaCf,EF,55
ST,easy,6xDo1DDaCf,FR,50
ST,hard,6xDo1DDaCf,ME,94
ST,hard,6xDo1DDaCf,PH,5
ST,hard,6xDo1DDaCf,TI,30
ST,hard,6xDo1DDaCf,PE,0
ST,hard,6xDo1DDaCf,EF,90
ST,hard,6xDo1DDaCf,FR,84
MR,easy,9ZffIZqFHz,ME,75
MR,easy,9ZffIZqFHz,PH,10
MR,easy,9ZffIZqFHz,TI,25
MR,easy,9ZffIZqFHz,PE,39
MR,easy,9ZffIZqFHz,EF,75
MR,easy,9ZffIZqFHz,FR,70
MS,medium,9ZffIZqFHz,ME,80
MS,medium,9ZffIZqFHz,PH,25
MS,medium,9ZffIZqFHz,TI,66
MS,medium,9ZffIZqFHz,PE,1
MS,medium,9ZffIZqFHz,EF,64
MS,medium,9ZffIZqFHz,FR,5
MR,medium,9ZffIZqFHz,ME,44
MR,medium,9ZffIZqFHz,PH,5
MR,medium,9ZffIZqFHz,TI,45
MR,medium,9ZffIZqFHz,PE,25
MR,medium,9ZffIZqFHz,EF,61
MR,medium,9ZffIZqFHz,FR,39
ST,easy,9ZffIZqFHz,ME,71
ST,easy,9ZffIZqFHz,PH,10
ST,easy,9ZffIZqFHz,TI,85
ST,easy,9ZffIZqFHz,PE,15
ST,easy,9ZffIZqFHz,EF,60
ST,easy,9ZffIZqFHz,FR,6
MS,hard,9ZffIZqFHz,ME,99
MS,hard,9ZffIZqFHz,PH,45
MS,hard,9ZffIZqFHz,TI,95
MS,hard,9ZffIZqFHz,PE,65
MS,hard,9ZffIZqFHz,EF,100
MS,hard,9ZffIZqFHz,FR,90
MR,hard,9ZffIZqFHz,ME,50
MR,hard,9ZffIZqFHz,PH,5
MR,hard,9ZffIZqFHz,TI,15
MR,hard,9ZffIZqFHz,PE,30
MR,hard,9ZffIZqFHz,EF,55
MR,hard,9ZffIZqFHz,FR,20
ST,medium,9ZffIZqFHz,ME,89
ST,medium,9ZffIZqFHz,PH,10
ST,medium,9ZffIZqFHz,TI,99
ST,medium,9ZffIZqFHz,PE,46
ST,medium,9ZffIZqFHz,EF,75
ST,medium,9ZffIZqFHz,FR,70
MS,easy,9ZffIZqFHz,ME,15
MS,easy,9ZffIZqFHz,PH,0
MS,easy,9ZffIZqFHz,TI,11
MS,easy,9ZffIZqFHz,PE,1
MS,easy,9ZffIZqFHz,EF,21
MS,easy,9ZffIZqFHz,FR,1
ST,hard,9ZffIZqFHz,ME,69
ST,hard,9ZffIZqFHz,PH,10
ST,hard,9ZffIZqFHz,TI,99
ST,hard,9ZffIZqFHz,PE,65
ST,hard,9ZffIZqFHz,EF,72
ST,hard,9ZffIZqFHz,FR,94
MS,easy,wiRZfBYOru,ME,10
MS,easy,wiRZfBYOru,PH,9
MS,easy,wiRZfBYOru,TI,11
MS,easy,wiRZfBYOru,PE,1
MS,easy,wiRZfBYOru,EF,5
MS,easy,wiRZfBYOru,FR,7
ST,medium,wiRZfBYOru,ME,75
ST,medium,wiRZfBYOru,PH,70
ST,medium,wiRZfBYOru,TI,80
ST,medium,wiRZfBYOru,PE,21
ST,medium,wiRZfBYOru,EF,73
ST,medium,wiRZfBYOru,FR,69
MS,hard,wiRZfBYOru,ME,95
MS,hard,wiRZfBYOru,PH,79
MS,hard,wiRZfBYOru,TI,91
MS,hard,wiRZfBYOru,PE,17
MS,hard,wiRZfBYOru,EF,98
MS,hard,wiRZfBYOru,FR,94
ST,easy,wiRZfBYOru,ME,50
ST,easy,wiRZfBYOru,PH,50
ST,easy,wiRZfBYOru,TI,50
ST,easy,wiRZfBYOru,PE,6
ST,easy,wiRZfBYOru,EF,49
ST,easy,wiRZfBYOru,FR,51
MR,hard,wiRZfBYOru,ME,69
MR,hard,wiRZfBYOru,PH,70
MR,hard,wiRZfBYOru,TI,70
MR,hard,wiRZfBYOru,PE,61
MR,hard,wiRZfBYOru,EF,68
MR,hard,wiRZfBYOru,FR,77
MR,medium,wiRZfBYOru,ME,68
MR,medium,wiRZfBYOru,PH,71
MR,medium,wiRZfBYOru,TI,69
MR,medium,wiRZfBYOru,PE,31
MR,medium,wiRZfBYOru,EF,69
MR,medium,wiRZfBYOru,FR,69
MS,medium,wiRZfBYOru,ME,86
MS,medium,wiRZfBYOru,PH,85
MS,medium,wiRZfBYOru,TI,85
MS,medium,wiRZfBYOru,PE,7
MS,medium,wiRZfBYOru,EF,86
MS,medium,wiRZfBYOru,FR,83
ST,hard,wiRZfBYOru,ME,79
ST,hard,wiRZfBYOru,PH,58
ST,hard,wiRZfBYOru,TI,62
ST,hard,wiRZfBYOru,PE,12
ST,hard,wiRZfBYOru,EF,87
ST,hard,wiRZfBYOru,FR,89
MR,easy,wiRZfBYOru,ME,80
MR,easy,wiRZfBYOru,PH,68
MR,easy,wiRZfBYOru,TI,53
MR,easy,wiRZfBYOru,PE,17
MR,easy,wiRZfBYOru,EF,64
MR,easy,wiRZfBYOru,FR,57
MR,easy,cCWrG11sgp,ME,58
MR,easy,cCWrG11sgp,PH,14
MR,easy,cCWrG11sgp,TI,50
MR,easy,cCWrG11sgp,PE,65
MR,easy,cCWrG11sgp,EF,75
MR,easy,cCWrG11sgp,FR,29
ST,hard,cCWrG11sgp,ME,85
ST,hard,cCWrG11sgp,PH,13
ST,hard,cCWrG11sgp,TI,79
ST,hard,cCWrG11sgp,PE,65
ST,hard,cCWrG11sgp,EF,90
ST,hard,cCWrG11sgp,FR,40
MR,medium,cCWrG11sgp,ME,75
MR,medium,cCWrG11sgp,PH,76
MR,medium,cCWrG11sgp,TI,70
MR,medium,cCWrG11sgp,PE,70
MR,medium,cCWrG11sgp,EF,75
MR,medium,cCWrG11sgp,FR,40
MS,hard,cCWrG11sgp,ME,85
MS,hard,cCWrG11sgp,PH,36
MS,hard,cCWrG11sgp,TI,99
MS,hard,cCWrG11sgp,PE,66
MS,hard,cCWrG11sgp,EF,100
MS,hard,cCWrG11sgp,FR,55
MS,medium,cCWrG11sgp,ME,89
MS,medium,cCWrG11sgp,PH,45
MS,medium,cCWrG11sgp,TI,100
MS,medium,cCWrG11sgp,PE,55
MS,medium,cCWrG11sgp,EF,100
MS,medium,cCWrG11sgp,FR,60
ST,easy,cCWrG11sgp,ME,65
ST,easy,cCWrG11sgp,PH,30
ST,easy,cCWrG11sgp,TI,100
ST,easy,cCWrG11sgp,PE,50
ST,easy,cCWrG11sgp,EF,100
ST,easy,cCWrG11sgp,FR,55
MS,easy,cCWrG11sgp,ME,75
MS,easy,cCWrG11sgp,PH,35
MS,easy,cCWrG11sgp,TI,94
MS,easy,cCWrG11sgp,PE,31
MS,easy,cCWrG11sgp,EF,85
MS,easy,cCWrG11sgp,FR,77
ST,medium,cCWrG11sgp,ME,82
ST,medium,cCWrG11sgp,PH,42
ST,medium,cCWrG11sgp,TI,98
ST,medium,cCWrG11sgp,PE,45
ST,medium,cCWrG11sgp,EF,100
ST,medium,cCWrG11sgp,FR,77
MR,hard,cCWrG11sgp,ME,90
MR,hard,cCWrG11sgp,PH,39
MR,hard,cCWrG11sgp,TI,84
MR,hard,cCWrG11sgp,PE,73
MR,hard,cCWrG11sgp,EF,100
MR,hard,cCWrG11sgp,FR,88
MS,easy,gI6hCgCchT,ME,60
MS,easy,gI6hCgCchT,PH,10
MS,easy,gI6hCgCchT,TI,50
MS,easy,gI6hCgCchT,PE,10
MS,easy,gI6hCgCchT,EF,25
MS,easy,gI6hCgCchT,FR,1
MR,medium,gI6hCgCchT,ME,70
