correctAns,base_pic,rotated_pic,key,is_correct,rt,task,level,trial,id
right,images/base/7_b.png,images/combined/7_b_x_0_y_0_z_45.png,right,1,3.034,MR,easy,7,HF94YUUt2C
left,images/base/8_b.png,images/combined/8_a_x_0_y_0_z_45.png,left,1,2.9424,MR,easy,8,HF94YUUt2C
right,images/base/6_a.png,images/combined/6_a_x_0_y_0_z_315.png,right,1,4.5931,MR,easy,9,HF94YUUt2C
left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_45.png,left,1,2.4961,MR,easy,10,HF94YUUt2C
right,images/base/3_b.png,images/combined/3_b_x_0_y_0_z_315.png,right,1,2.2922,MR,easy,11,HF94YUUt2C
right,images/base/11_b.png,images/combined/11_b_x_0_y_0_z_45.png,right,1,2.4375,MR,easy,12,HF94YUUt2C
right,images/base/9_b.png,images/combined/9_b_x_0_y_0_z_315.png,right,1,3.1806,MR,easy,13,HF94YUUt2C
left,images/base/5_b.png,images/combined/5_a_x_0_y_0_z_315.png,left,1,1.4381,MR,easy,14,HF94YUUt2C
right,images/base/10_a.png,images/combined/10_a_x_0_y_0_z_45.png,right,1,4.9588,MR,easy,15,HF94YUUt2C
left,images/base/14_a.png,images/combined/14_b_x_0_y_0_z_315.png,left,1,1.4183,MR,easy,16,HF94YUUt2C
left,images/base/13_b.png,images/combined/13_a_x_315_y_0_z_270.png,left,1,6.7071,MR,medium,1,HF94YUUt2C
left,images/base/16_b.png,images/combined/16_a_x_315_y_0_z_270.png,right,0,9.297,MR,medium,2,HF94YUUt2C
left,images/base/10_a.png,images/combined/10_b_x_45_y_0_z_270.png,left,1,18.3674,MR,medium,3,HF94YUUt2C
left,images/base/6_b.png,images/combined/6_a_x_315_y_0_z_270.png,right,0,13.1381,MR,medium,4,HF94YUUt2C
left,images/base/12_b.png,images/combined/12_a_x_315_y_0_z_270.png,right,0,17.0804,MR,medium,5,HF94YUUt2C
right,images/base/3_a.png,images/combined/3_a_x_315_y_0_z_90.png,left,0,13.8733,MR,medium,6,HF94YUUt2C
right,images/base/8_a.png,images/combined/8_a_x_45_y_0_z_270.png,right,1,11.2487,MR,medium,7,HF94YUUt2C
left,images/base/5_a.png,images/combined/5_b_x_315_y_0_z_270.png,left,1,12.5161,MR,medium,8,HF94YUUt2C
right,images/base/1_b.png,images/combined/1_b_x_45_y_0_z_270.png,right,1,13.0695,MR,medium,9,HF94YUUt2C
right,images/base/2_b.png,images/combined/2_b_x_315_y_0_z_90.png,right,1,14.6253,MR,medium,10,HF94YUUt2C
right,images/base/11_b.png,images/combined/11_b_x_45_y_0_z_90.png,left,0,8.1799,MR,medium,11,HF94YUUt2C
left,images/base/4_a.png,images/combined/4_b_x_315_y_0_z_90.png,right,0,6.3386,MR,medium,12,HF94YUUt2C
left,images/base/7_a.png,images/combined/7_b_x_315_y_0_z_270.png,left,1,8.5333,MR,medium,13,HF94YUUt2C
left,images/base/9_b.png,images/combined/9_a_x_45_y_0_z_90.png,left,1,17.9332,MR,medium,14,HF94YUUt2C
left,images/base/14_b.png,images/combined/14_a_x_45_y_0_z_270.png,left,1,10.6698,MR,medium,15,HF94YUUt2C
left,images/base/15_b.png,images/combined/15_a_x_315_y_0_z_270.png,right,0,15.36,MR,medium,16,HF94YUUt2C
left,images/base/11_a.png,images/combined/11_b_x_90_y_0_z_270.png,left,1,29.9689,MR,hard,1,HF94YUUt2C
left,images/base/3_b.png,images/combined/3_a_x_90_y_0_z_270.png,right,0,13.6973,MR,hard,2,HF94YUUt2C
left,images/base/12_b.png,images/combined/12_a_x_270_y_0_z_90.png,left,1,16.8394,MR,hard,3,HF94YUUt2C
left,images/base/15_a.png,images/combined/15_b_x_270_y_0_z_270.png,right,0,22.756,MR,hard,4,HF94YUUt2C
left,images/base/9_a.png,images/combined/9_b_x_270_y_0_z_90.png,left,1,32.6356,MR,hard,5,HF94YUUt2C
right,images/base/8_a.png,images/combined/8_a_x_270_y_0_z_270.png,right,1,41.3306,MR,hard,6,HF94YUUt2C
right,images/base/7_b.png,images/combined/7_b_x_270_y_0_z_90.png,left,0,18.412,MR,hard,7,HF94YUUt2C
left,images/base/4_a.png,images/combined/4_b_x_90_y_0_z_270.png,left,1,9.4746,MR,hard,8,HF94YUUt2C
left,images/base/14_b.png,images/combined/14_a_x_270_y_0_z_270.png,left,1,24.8275,MR,hard,9,HF94YUUt2C
left,images/base/10_a.png,images/combined/10_b_x_90_y_0_z_90.png,left,1,21.0979,MR,hard,10,HF94YUUt2C
right,images/base/1_b.png,images/combined/1_b_x_270_y_0_z_270.png,right,1,25.4764,MR,hard,11,HF94YUUt2C
right,images/base/6_a.png,images/combined/6_a_x_90_y_0_z_270.png,left,0,8.7966,MR,hard,12,HF94YUUt2C
left,images/base/2_a.png,images/combined/2_b_x_270_y_0_z_90.png,left,1,7.499,MR,hard,13,HF94YUUt2C
right,images/base/13_b.png,images/combined/13_b_x_90_y_0_z_90.png,right,1,6.1112,MR,hard,14,HF94YUUt2C
left,images/base/5_a.png,images/combined/5_b_x_90_y_0_z_270.png,right,0,18.6739,MR,hard,15,HF94YUUt2C
left,images/base/16_b.png,images/combined/16_a_x_270_y_0_z_90.png,left,1,17.7977,MR,hard,16,HF94YUUt2C
left,images/base/14_a.png,images/combined/14_b_x_0_y_0_z_45.png,left,1,4.0205,MR,easy,1,z93bJWn4hw
left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_315.png,left,1,9.7853,MR,easy,2,z93bJWn4hw
left,images/base/4_b.png,images/combined/4_a_x_0_y_0_z_315.png,left,1,4.456,MR,easy,3,z93bJWn4hw
left,images/base/1_b.png,images/combined/1_a_x_0_y_0_z_45.png,left,1,16.5136,MR,easy,4,z93bJWn4hw
left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_45.png,left,1,4.933,MR,easy,5,z93bJWn4hw
left,images/base/9_b.png,images/combined/9_a_x_0_y_0_z_45.png,left,1,32.0422,MR,easy,6,z93bJWn4hw
left,images/base/8_b.png,images/combined/8_a_x_0_y_0_z_315.png,left,1,2.6833,MR,easy,7,z93bJWn4hw
right,images/base/7_b.png,images/combined/7_b_x_0_y_0_z_45.png,right,1,2.6835,MR,easy,8,z93bJWn4hw
right,images/base/12_b.png,images/combined/12_b_x_0_y_0_z_315.png,right,1,6.1554,MR,easy,9,z93bJWn4hw
right,images/base/16_b.png,images/combined/16_b_x_0_y_0_z_45.png,right,1,4.4204,MR,easy,10,z93bJWn4hw
right,images/base/2_b.png,images/combined/2_b_x_0_y_0_z_45.png,right,1,3.1012,MR,easy,11,z93bJWn4hw
right,images/base/5_b.png,images/combined/5_b_x_0_y_0_z_315.png,right,1,2.6547,MR,easy,12,z93bJWn4hw
right,images/base/13_a.png,images/combined/13_a_x_0_y_0_z_315.png,right,1,1.7949,MR,easy,13,z93bJWn4hw
left,images/base/11_b.png,images/combined/11_a_x_0_y_0_z_45.png,left,1,36.5581,MR,easy,14,z93bJWn4hw
right,images/base/6_a.png,images/combined/6_a_x_0_y_0_z_315.png,right,1,2.3959,MR,easy,15,z93bJWn4hw
right,images/base/10_b.png,images/combined/10_b_x_0_y_0_z_45.png,right,1,1.618,MR,easy,16,z93bJWn4hw
left,images/base/5_a.png,images/combined/5_b_x_45_y_0_z_90.png,left,1,4.407,MR,medium,1,z93bJWn4hw
right,images/base/13_a.png,images/combined/13_a_x_45_y_0_z_270.png,right,1,5.4616,MR,medium,2,z93bJWn4hw
right,images/base/6_b.png,images/combined/6_b_x_45_y_0_z_270.png,right,1,7.5295,MR,medium,3,z93bJWn4hw
right,images/base/11_a.png,images/combined/11_a_x_45_y_0_z_90.png,right,1,3.6049,MR,medium,4,z93bJWn4hw
left,images/base/7_b.png,images/combined/7_a_x_45_y_0_z_270.png,left,1,4.0499,MR,medium,5,z93bJWn4hw
right,images/base/4_a.png,images/combined/4_a_x_45_y_0_z_270.png,right,1,1.7703,MR,medium,6,z93bJWn4hw
right,images/base/1_a.png,images/combined/1_a_x_315_y_0_z_270.png,right,1,6.0162,MR,medium,7,z93bJWn4hw
left,images/base/3_b.png,images/combined/3_a_x_45_y_0_z_270.png,left,1,4.7589,MR,medium,8,z93bJWn4hw
right,images/base/14_b.png,images/combined/14_b_x_45_y_0_z_90.png,right,1,6.5623,MR,medium,9,z93bJWn4hw
