trials,task,level,n,rt,acc,id,pool
15,MS,hard,7,52.4991,1,wiRZfBYOru,pool2
16,MS,easy,3,20.2995,1,wiRZfBYOru,pool2
16,MS,medium,5,41.5642,1,wiRZfBYOru,pool2
16,MS,hard,7,49.9986,1,wiRZfBYOru,pool2
1,MS,easy,3,17.3004,1,cCWrG11sgp,pool2
1,MS,medium,5,30.6017,1,cCWrG11sgp,pool2
1,MS,hard,7,41.4527,1,cCWrG11sgp,pool2
2,MS,easy,3,15.2512,1,cCWrG11sgp,pool2
2,MS,medium,4,30.1861,0.8,cCWrG11sgp,pool2
2,MS,hard,7,31.2027,1,cCWrG11sgp,pool2
3,MS,easy,3,16.0845,1,cCWrG11sgp,pool2
3,MS,medium,5,30.4195,1,cCWrG11sgp,pool2
3,MS,hard,7,34.4698,1,cCWrG11sgp,pool2
4,MS,easy,3,15.551,1,cCWrG11sgp,pool2
4,MS,medium,5,38.3867,1,cCWrG11sgp,pool2
4,MS,hard,7,34.4528,1,cCWrG11sgp,pool2
5,MS,easy,3,20.6349,1,cCWrG11sgp,pool2
5,MS,medium,5,24.6522,1,cCWrG11sgp,pool2
5,MS,hard,7,29.886,1,cCWrG11sgp,pool2
6,MS,easy,3,17.1181,1,cCWrG11sgp,pool2
6,MS,medium,5,25.5689,1,cCWrG11sgp,pool2
6,MS,hard,7,30.9526,1,cCWrG11sgp,pool2
7,MS,easy,3,13.4008,1,cCWrG11sgp,pool2
7,MS,medium,5,26.9192,1,cCWrG11sgp,pool2
7,MS,hard,7,33.503,1,cCWrG11sgp,pool2
8,MS,easy,3,15.0343,1,cCWrG11sgp,pool2
8,MS,medium,5,21.1185,1,cCWrG11sgp,pool2
8,MS,hard,7,31.603,1,cCWrG11sgp,pool2
9,MS,easy,3,15.8012,1,cCWrG11sgp,pool2
9,MS,medium,5,26.0354,1,cCWrG11sgp,pool2
9,MS,hard,7,32.6527,1,cCWrG11sgp,pool2
10,MS,easy,3,16.5514,1,cCWrG11sgp,pool2
10,MS,medium,5,24.6685,1,cCWrG11sgp,pool2
10,MS,hard,7,36.1864,1,cCWrG11sgp,pool2
11,MS,easy,3,11.5342,1,cCWrG11sgp,pool2
11,MS,medium,5,54.5216,1,cCWrG11sgp,pool2
11,MS,hard,7,34.0362,1,cCWrG11sgp,pool2
12,MS,easy,3,16.9182,1,cCWrG11sgp,pool2
12,MS,medium,5,27.069,1,cCWrG11sgp,pool2
12,MS,hard,7,29.9193,1,cCWrG11sgp,pool2
13,MS,easy,3,13.8512,1,cCWrG11sgp,pool2
13,MS,medium,5,26.9523,1,cCWrG11sgp,pool2
13,MS,hard,7,25.1854,1,cCWrG11sgp,pool2
14,MS,easy,3,12.184,1,cCWrG11sgp,pool2
14,MS,medium,5,30.3693,1,cCWrG11sgp,pool2
14,MS,hard,1,23.2353,0.14285714285714285,cCWrG11sgp,pool2
15,MS,easy,3,14.501,1,cCWrG11sgp,pool2
15,MS,medium,5,28.9359,1,cCWrG11sgp,pool2
15,MS,hard,7,34.0696,1,cCWrG11sgp,pool2
16,MS,easy,3,16.5679,1,cCWrG11sgp,pool2
16,MS,medium,5,21.6353,1,cCWrG11sgp,pool2
16,MS,hard,7,37.0865,1,cCWrG11sgp,pool2
1,MS,easy,3,18.182,1,gI6hCgCchT,pool2
1,MS,medium,2,79.1265,0.4,gI6hCgCchT,pool2
1,MS,hard,3,19.4269,0.42857142857142855,gI6hCgCchT,pool2
2,MS,easy,3,20.7486,1,gI6hCgCchT,pool2
2,MS,medium,5,57.0474,1,gI6hCgCchT,pool2
2,MS,hard,4,37.1815,0.5714285714285714,gI6hCgCchT,pool2
3,MS,easy,3,15.5317,1,gI6hCgCchT,pool2
3,MS,medium,5,40.9645,1,gI6hCgCchT,pool2
3,MS,hard,5,32.7318,0.7142857142857143,gI6hCgCchT,pool2
4,MS,easy,3,17.9328,1,gI6hCgCchT,pool2
4,MS,medium,4,44.0148,0.8,gI6hCgCchT,pool2
4,MS,hard,5,36.948,0.7142857142857143,gI6hCgCchT,pool2
5,MS,easy,3,19.8634,1,gI6hCgCchT,pool2
5,MS,medium,2,95.5793,0.4,gI6hCgCchT,pool2
5,MS,hard,5,30.7818,0.7142857142857143,gI6hCgCchT,pool2
6,MS,easy,2,31.7688,0.6666666666666666,gI6hCgCchT,pool2
6,MS,medium,4,47.0141,0.8,gI6hCgCchT,pool2
6,MS,hard,5,53.5673,0.7142857142857143,gI6hCgCchT,pool2
7,MS,easy,2,17.3985,0.6666666666666666,gI6hCgCchT,pool2
7,MS,medium,5,33.7141,1,gI6hCgCchT,pool2
7,MS,hard,4,28.0166,0.5714285714285714,gI6hCgCchT,pool2
8,MS,easy,3,27.734,1,gI6hCgCchT,pool2
8,MS,medium,4,55.9306,0.8,gI6hCgCchT,pool2
8,MS,hard,4,38.099,0.5714285714285714,gI6hCgCchT,pool2
9,MS,easy,2,21.6999,0.6666666666666666,gI6hCgCchT,pool2
9,MS,medium,4,70.5132,0.8,gI6hCgCchT,pool2
9,MS,hard,3,25.2499,0.42857142857142855,gI6hCgCchT,pool2
10,MS,easy,3,19.0368,1,gI6hCgCchT,pool2
10,MS,medium,4,28.4151,0.8,gI6hCgCchT,pool2
10,MS,hard,4,28.9517,0.5714285714285714,gI6hCgCchT,pool2
11,MS,easy,3,14.2155,1,gI6hCgCchT,pool2
11,MS,medium,3,46.5312,0.6,gI6hCgCchT,pool2
11,MS,hard,0,6.868,0,gI6hCgCchT,pool2
12,MS,easy,3,17.6337,1,gI6hCgCchT,pool2
12,MS,medium,3,62.7474,0.6,gI6hCgCchT,pool2
12,MS,hard,5,31.0853,0.7142857142857143,gI6hCgCchT,pool2
13,MS,easy,3,31.7657,1,gI6hCgCchT,pool2
13,MS,medium,5,39.4646,1,gI6hCgCchT,pool2
13,MS,hard,2,21.0157,0.2857142857142857,gI6hCgCchT,pool2
14,MS,easy,3,14.1358,1,gI6hCgCchT,pool2
14,MS,medium,3,77.7959,0.6,gI6hCgCchT,pool2
14,MS,hard,3,26.5164,0.42857142857142855,gI6hCgCchT,pool2
15,MS,easy,3,16.083,1,gI6hCgCchT,pool2
15,MS,medium,2,39.564,0.4,gI6hCgCchT,pool2
15,MS,hard,3,27.7281,0.42857142857142855,gI6hCgCchT,pool2
16,MS,easy,2,30.786,0.6666666666666666,gI6hCgCchT,pool2
16,MS,medium,4,51.6307,0.8,gI6hCgCchT,pool2
16,MS,hard,3,23.2015,0.42857142857142855,gI6hCgCchT,pool2
1,MS,easy,3,32.4836,1,kGWL9y5AS9,pool2
1,MS,medium,5,23.2765,1,kGWL9y5AS9,pool2
1,MS,hard,7,39.5818,1,kGWL9y5AS9,pool2
2,MS,easy,3,18.5127,1,kGWL9y5AS9,pool2
2,MS,medium,5,20.2709,1,kGWL9y5AS9,pool2
2,MS,hard,7,37.9747,1,kGWL9y5AS9,pool2
3,MS,easy,3,16.8562,1,kGWL9y5AS9,pool2
3,MS,medium,5,27.8432,1,kGWL9y5AS9,pool2
3,MS,hard,7,43.7822,1,kGWL9y5AS9,pool2
4,MS,easy,3,17.4212,1,kGWL9y5AS9,pool2
4,MS,medium,5,27.5863,1,kGWL9y5AS9,pool2
4,MS,hard,7,39.1669,1,kGWL9y5AS9,pool2
5,MS,easy,3,19.5118,1,kGWL9y5AS9,pool2
5,MS,medium,5,22.496,1,kGWL9y5AS9,pool2
5,MS,hard,7,36.7181,1,kGWL9y5AS9,pool2
6,MS,easy,3,16.6471,1,kGWL9y5AS9,pool2
6,MS,medium,5,21.1533,1,kGWL9y5AS9,pool2
6,MS,hard,7,41.2013,1,kGWL9y5AS9,pool2
7,MS,easy,3,22.1545,1,kGWL9y5AS9,pool2
7,MS,medium,5,19.5784,1,kGWL9y5AS9,pool2
7,MS,hard,7,32.4442,1,kGWL9y5AS9,pool2
8,MS,easy,3,18.6879,1,kGWL9y5AS9,pool2
8,MS,medium,5,30.4018,1,kGWL9y5AS9,pool2
8,MS,hard,7,38.0501,1,kGWL9y5AS9,pool2
9,MS,easy,3,18.6287,1,kGWL9y5AS9,pool2
9,MS,medium,5,22.0302,1,kGWL9y5AS9,pool2
9,MS,hard,7,40.566,1,kGWL9y5AS9,pool2
10,MS,easy,3,13.8651,1,kGWL9y5AS9,pool2
10,MS,medium,5,19.7133,1,kGWL9y5AS9,pool2
10,MS,hard,7,34.2177,1,kGWL9y5AS9,pool2
11,MS,easy,3,23.5276,1,kGWL9y5AS9,pool2
11,MS,medium,5,27.2024,1,kGWL9y5AS9,pool2
11,MS,hard,7,54.2968,1,kGWL9y5AS9,pool2
12,MS,easy,3,19.346,1,kGWL9y5AS9,pool2
12,MS,medium,5,22.7451,1,kGWL9y5AS9,pool2
12,MS,hard,7,34.6924,1,kGWL9y5AS9,pool2
13,MS,easy,3,18.6628,1,kGWL9y5AS9,pool2
13,MS,medium,5,22.1699,1,kGWL9y5AS9,pool2
13,MS,hard,7,37.7413,1,kGWL9y5AS9,pool2
